,CUS,ANS
235,CUST0000951367,1.0
236,CUST0000951065,1.0
237,CUST0000950918,0.0
238,CUST0000950814,1.0
239,CUST0000950812,0.0
240,CUST0000950748,1.0
241,CUST0000950666,0.0
242,CUST0000950289,0.0
243,CUST0000950087,0.0
244,CUST0000949963,0.0
245,CUST0000949264,0.0
246,CUST0000949077,1.0
247,CUST0000949044,1.0
248,CUST0000948955,0.0
249,CUST0000948711,1.0
250,CUST0000948445,1.0
251,CUST0000948399,1.0
252,CUST0000948003,1.0
253,CUST0000947889,0.0
254,CUST0000947514,0.0
255,CUST0000947233,1.0
256,CUST0000947188,0.0
257,CUST0000947049,0.0
258,CUST0000947010,0.0
259,CUST0000946961,1.0
260,CUST0000946821,0.0
261,CUST0000946591,0.0
262,CUST0000945695,0.0
263,CUST0000945336,0.0
264,CUST0000945332,0.0
265,CUST0000944854,1.0
266,CUST0000944418,0.0
267,CUST0000944384,0.0
268,CUST0000944250,1.0
269,CUST0000944143,1.0
270,CUST0000944109,1.0
271,CUST0000943524,0.0
272,CUST0000943456,0.0
273,CUST0000942893,1.0
274,CUST0000942820,0.0
275,CUST0000942224,1.0
276,CUST0000941865,0.0
277,CUST0000941769,1.0
278,CUST0000941570,1.0
279,CUST0000941365,0.0
280,CUST0000941217,0.0
281,CUST0000940774,1.0
282,CUST0000940633,0.0
283,CUST0000940034,0.0
284,CUST0000938527,1.0
285,CUST0000938180,0.0
286,CUST0000937998,0.0
287,CUST0000937956,1.0
288,CUST0000937299,0.0
289,CUST0000936490,1.0
290,CUST0000936104,0.0
291,CUST0000935509,0.0
292,CUST0000935348,1.0
293,CUST0000935271,0.0
294,CUST0000934997,1.0
295,CUST0000934795,0.0
296,CUST0000934065,0.0
297,CUST0000934044,0.0
298,CUST0000933740,1.0
299,CUST0000933215,0.0
300,CUST0000933124,1.0
301,CUST0000932977,1.0
302,CUST0000932899,0.0
303,CUST0000932531,0.0
304,CUST0000932475,1.0
305,CUST0000932152,0.0
306,CUST0000931984,0.0
307,CUST0000931904,1.0
308,CUST0000931901,0.0
309,CUST0000931886,0.0
310,CUST0000931849,0.0
311,CUST0000930705,0.0
312,CUST0000930632,1.0
313,CUST0000930614,1.0
314,CUST0000930603,1.0
315,CUST0000930601,1.0
316,CUST0000930519,1.0
317,CUST0000930504,0.0
318,CUST0000930426,0.0
319,CUST0000930325,1.0
320,CUST0000930182,1.0
321,CUST0000930113,1.0
322,CUST0000930066,0.0
323,CUST0000930044,1.0
324,CUST0000929829,1.0
325,CUST0000929563,0.0
326,CUST0000928648,0.0
327,CUST0000928550,1.0
328,CUST0000928511,1.0
329,CUST0000928411,0.0
330,CUST0000928368,1.0
331,CUST0000928158,1.0
332,CUST0000928010,1.0
333,CUST0000928006,1.0
334,CUST0000927720,1.0
335,CUST0000927569,0.0
336,CUST0000927524,0.0
337,CUST0000927074,0.0
338,CUST0000926667,0.0
339,CUST0000926483,1.0
340,CUST0000926427,0.0
341,CUST0000926320,1.0
342,CUST0000926292,0.0
343,CUST0000926130,0.0
344,CUST0000925582,1.0
345,CUST0000925379,0.0
346,CUST0000925106,0.0
347,CUST0000925002,1.0
348,CUST0000924929,0.0
349,CUST0000924904,1.0
350,CUST0000924696,0.0
351,CUST0000923667,0.0
352,CUST0000923551,0.0
353,CUST0000923274,1.0
354,CUST0000922993,0.0
355,CUST0000922878,0.0
356,CUST0000921321,1.0
357,CUST0000920638,0.0
358,CUST0000920466,0.0
359,CUST0000920332,1.0
360,CUST0000920247,0.0
361,CUST0000920214,0.0
362,CUST0000919884,1.0
363,CUST0000919826,0.0
364,CUST0000919740,1.0
365,CUST0000919512,0.0
366,CUST0000919465,0.0
367,CUST0000919241,0.0
368,CUST0000918984,0.0
369,CUST0000918881,0.0
370,CUST0000918756,1.0
371,CUST0000918632,1.0
372,CUST0000918630,0.0
373,CUST0000918624,0.0
374,CUST0000918462,0.0
375,CUST0000918382,1.0
376,CUST0000918269,1.0
377,CUST0000918256,0.0
378,CUST0000918102,0.0
379,CUST0000918059,0.0
380,CUST0000918050,0.0
381,CUST0000917923,1.0
382,CUST0000917793,0.0
383,CUST0000917733,1.0
384,CUST0000917696,0.0
385,CUST0000917476,0.0
386,CUST0000917454,0.0
387,CUST0000916843,1.0
388,CUST0000916771,0.0
389,CUST0000916716,0.0
390,CUST0000916536,0.0
391,CUST0000916506,1.0
392,CUST0000916074,1.0
393,CUST0000915965,0.0
394,CUST0000915794,0.0
395,CUST0000915470,0.0
396,CUST0000915346,1.0
397,CUST0000915222,1.0
398,CUST0000915126,0.0
399,CUST0000915120,0.0
400,CUST0000914466,1.0
401,CUST0000914396,0.0
402,CUST0000914278,1.0
403,CUST0000914107,1.0
404,CUST0000913995,0.0
405,CUST0000913892,0.0
406,CUST0000913505,1.0
407,CUST0000913416,1.0
408,CUST0000913077,0.0
409,CUST0000912914,1.0
410,CUST0000912430,0.0
411,CUST0000912429,0.0
412,CUST0000912393,1.0
413,CUST0000912320,0.0
414,CUST0000912168,0.0
415,CUST0000912092,0.0
416,CUST0000912026,1.0
417,CUST0000912014,1.0
418,CUST0000912008,1.0
419,CUST0000911790,1.0
420,CUST0000911564,0.0
421,CUST0000911359,0.0
422,CUST0000910724,1.0
423,CUST0000910411,0.0
424,CUST0000910053,1.0
425,CUST0000909540,0.0
426,CUST0000909290,0.0
427,CUST0000908384,0.0
428,CUST0000908339,0.0
429,CUST0000907948,0.0
430,CUST0000907594,0.0
431,CUST0000907408,0.0
432,CUST0000907293,1.0
433,CUST0000906952,0.0
434,CUST0000906762,0.0
435,CUST0000906444,1.0
436,CUST0000905751,1.0
437,CUST0000905703,1.0
438,CUST0000905666,0.0
439,CUST0000905609,0.0
440,CUST0000905271,1.0
441,CUST0000905133,1.0
442,CUST0000905114,0.0
443,CUST0000904873,0.0
444,CUST0000904408,0.0
445,CUST0000904125,0.0
446,CUST0000903739,0.0
447,CUST0000903628,1.0
448,CUST0000903478,1.0
449,CUST0000903414,1.0
450,CUST0000903399,0.0
451,CUST0000903105,0.0
452,CUST0000902888,1.0
453,CUST0000902878,0.0
454,CUST0000902596,0.0
455,CUST0000902490,0.0
456,CUST0000902161,0.0
457,CUST0000901807,0.0
458,CUST0000901750,1.0
459,CUST0000901727,1.0
460,CUST0000901719,0.0
461,CUST0000901687,0.0
462,CUST0000901474,1.0
463,CUST0000901390,0.0
464,CUST0000901312,0.0
465,CUST0000901037,1.0
466,CUST0000901001,0.0
467,CUST0000900895,0.0
468,CUST0000900530,0.0
469,CUST0000900382,0.0
470,CUST0000899988,0.0
471,CUST0000899895,1.0
472,CUST0000899882,0.0
473,CUST0000899795,0.0
474,CUST0000899518,0.0
475,CUST0000899340,0.0
476,CUST0000899003,0.0
477,CUST0000898874,1.0
478,CUST0000898789,1.0
479,CUST0000898618,0.0
480,CUST0000898601,0.0
481,CUST0000898386,0.0
482,CUST0000898359,1.0
483,CUST0000898233,0.0
484,CUST0000897794,0.0
485,CUST0000897490,0.0
486,CUST0000897274,0.0
487,CUST0000897025,1.0
488,CUST0000896986,0.0
489,CUST0000896754,0.0
490,CUST0000896618,0.0
491,CUST0000896495,0.0
492,CUST0000896186,1.0
493,CUST0000896155,1.0
494,CUST0000896113,1.0
495,CUST0000896027,1.0
496,CUST0000895972,0.0
497,CUST0000895836,0.0
498,CUST0000894955,0.0
499,CUST0000894937,1.0
500,CUST0000894701,0.0
501,CUST0000894451,1.0
502,CUST0000894444,0.0
503,CUST0000894426,1.0
504,CUST0000894179,1.0
505,CUST0000894063,0.0
506,CUST0000894018,0.0
507,CUST0000893636,0.0
508,CUST0000893429,1.0
509,CUST0000893325,0.0
510,CUST0000892936,0.0
511,CUST0000892890,0.0
512,CUST0000892746,0.0
513,CUST0000892723,0.0
514,CUST0000892572,1.0
515,CUST0000892270,0.0
516,CUST0000892113,1.0
517,CUST0000892068,0.0
518,CUST0000891442,0.0
519,CUST0000891288,1.0
520,CUST0000891142,1.0
521,CUST0000891033,1.0
522,CUST0000890978,0.0
523,CUST0000890781,1.0
524,CUST0000890637,1.0
525,CUST0000890414,0.0
526,CUST0000890280,0.0
527,CUST0000889862,1.0
528,CUST0000889681,0.0
529,CUST0000889467,0.0
530,CUST0000889299,1.0
531,CUST0000889188,1.0
532,CUST0000888718,0.0
533,CUST0000888640,0.0
534,CUST0000888557,1.0
535,CUST0000888525,1.0
536,CUST0000888275,1.0
537,CUST0000888005,0.0
538,CUST0000887683,1.0
539,CUST0000887660,1.0
540,CUST0000887603,1.0
541,CUST0000887296,0.0
542,CUST0000887225,0.0
543,CUST0000887195,0.0
544,CUST0000886851,0.0
545,CUST0000886703,1.0
546,CUST0000886425,1.0
547,CUST0000886084,0.0
548,CUST0000885962,0.0
549,CUST0000885945,0.0
550,CUST0000885800,0.0
551,CUST0000885752,0.0
552,CUST0000885376,0.0
553,CUST0000885214,0.0
554,CUST0000885195,1.0
555,CUST0000884836,1.0
556,CUST0000884608,1.0
557,CUST0000884491,1.0
558,CUST0000884475,0.0
559,CUST0000884200,0.0
560,CUST0000883983,1.0
561,CUST0000883929,0.0
562,CUST0000883787,0.0
563,CUST0000883751,0.0
564,CUST0000883458,1.0
565,CUST0000883283,0.0
566,CUST0000883034,0.0
567,CUST0000882989,0.0
568,CUST0000882972,0.0
569,CUST0000882828,1.0
570,CUST0000882821,0.0
571,CUST0000882756,0.0
572,CUST0000882569,0.0
573,CUST0000882323,1.0
574,CUST0000881705,1.0
575,CUST0000881571,1.0
576,CUST0000881364,0.0
577,CUST0000880906,0.0
578,CUST0000880352,0.0
579,CUST0000880262,1.0
580,CUST0000880049,1.0
581,CUST0000879952,0.0
582,CUST0000879709,1.0
583,CUST0000879091,1.0
584,CUST0000878929,1.0
585,CUST0000878913,0.0
586,CUST0000878470,0.0
587,CUST0000878361,0.0
588,CUST0000878307,1.0
589,CUST0000878193,0.0
590,CUST0000877965,1.0
591,CUST0000877835,1.0
592,CUST0000877805,0.0
593,CUST0000877775,1.0
594,CUST0000877767,0.0
595,CUST0000876718,0.0
596,CUST0000876662,1.0
597,CUST0000876251,1.0
598,CUST0000876204,0.0
599,CUST0000876191,0.0
600,CUST0000875803,0.0
601,CUST0000875143,0.0
602,CUST0000874794,0.0
603,CUST0000874677,1.0
604,CUST0000874583,0.0
605,CUST0000874452,1.0
606,CUST0000874374,1.0
607,CUST0000874276,0.0
608,CUST0000874112,0.0
609,CUST0000874064,1.0
610,CUST0000873567,1.0
611,CUST0000873432,0.0
612,CUST0000873426,1.0
613,CUST0000873338,0.0
614,CUST0000873299,0.0
615,CUST0000873251,0.0
616,CUST0000873218,1.0
617,CUST0000873031,0.0
618,CUST0000873007,1.0
619,CUST0000872900,0.0
620,CUST0000872856,1.0
621,CUST0000872792,0.0
622,CUST0000872593,1.0
623,CUST0000872480,0.0
624,CUST0000872317,1.0
625,CUST0000872220,0.0
626,CUST0000872164,0.0
627,CUST0000872127,1.0
628,CUST0000871850,0.0
629,CUST0000871609,0.0
630,CUST0000871519,1.0
631,CUST0000871069,1.0
632,CUST0000870653,0.0
633,CUST0000870644,0.0
634,CUST0000869882,0.0
635,CUST0000869681,1.0
636,CUST0000869536,0.0
637,CUST0000869350,1.0
638,CUST0000868967,0.0
639,CUST0000868748,0.0
640,CUST0000868727,0.0
641,CUST0000868218,1.0
642,CUST0000867806,0.0
643,CUST0000867599,0.0
644,CUST0000867461,0.0
645,CUST0000867394,0.0
646,CUST0000867298,1.0
647,CUST0000867258,1.0
648,CUST0000866869,0.0
649,CUST0000866844,1.0
650,CUST0000866601,0.0
651,CUST0000865865,0.0
652,CUST0000865834,1.0
653,CUST0000865565,0.0
654,CUST0000865213,1.0
655,CUST0000865205,1.0
656,CUST0000865071,0.0
657,CUST0000865064,1.0
658,CUST0000864577,0.0
659,CUST0000864535,0.0
660,CUST0000864525,1.0
661,CUST0000864395,0.0
662,CUST0000864359,0.0
663,CUST0000864337,0.0
664,CUST0000864065,0.0
665,CUST0000863981,1.0
666,CUST0000863891,0.0
667,CUST0000863879,0.0
668,CUST0000863873,0.0
669,CUST0000863656,0.0
670,CUST0000863169,1.0
671,CUST0000863167,1.0
672,CUST0000863076,1.0
673,CUST0000862696,1.0
674,CUST0000862670,0.0
675,CUST0000862571,1.0
676,CUST0000862237,1.0
677,CUST0000862202,1.0
678,CUST0000862094,0.0
679,CUST0000861965,1.0
680,CUST0000861880,1.0
681,CUST0000861816,0.0
682,CUST0000861794,0.0
683,CUST0000861555,0.0
684,CUST0000861461,0.0
685,CUST0000861456,0.0
686,CUST0000861374,1.0
687,CUST0000861358,0.0
688,CUST0000861304,0.0
689,CUST0000861189,0.0
690,CUST0000860999,0.0
691,CUST0000860875,0.0
692,CUST0000860835,1.0
693,CUST0000860648,0.0
694,CUST0000860136,1.0
695,CUST0000860135,1.0
696,CUST0000859516,0.0
697,CUST0000859492,1.0
698,CUST0000859206,1.0
699,CUST0000859140,0.0
700,CUST0000858529,0.0
701,CUST0000858503,0.0
702,CUST0000858321,0.0
703,CUST0000857923,1.0
704,CUST0000857815,0.0
705,CUST0000857793,1.0
706,CUST0000857328,1.0
707,CUST0000856838,1.0
708,CUST0000856617,0.0
709,CUST0000856477,1.0
710,CUST0000856458,1.0
711,CUST0000856447,0.0
712,CUST0000856398,0.0
713,CUST0000856322,0.0
714,CUST0000856241,1.0
715,CUST0000855939,0.0
716,CUST0000855770,0.0
717,CUST0000855714,1.0
718,CUST0000855240,0.0
719,CUST0000855087,0.0
720,CUST0000855054,0.0
721,CUST0000854437,1.0
722,CUST0000854324,0.0
723,CUST0000853933,0.0
724,CUST0000853841,0.0
725,CUST0000853563,1.0
726,CUST0000853429,0.0
727,CUST0000853281,1.0
728,CUST0000853197,0.0
729,CUST0000853046,1.0
730,CUST0000852398,1.0
731,CUST0000852365,0.0
732,CUST0000852161,1.0
733,CUST0000851982,1.0
734,CUST0000851905,0.0
735,CUST0000851860,0.0
736,CUST0000851830,0.0
737,CUST0000851370,1.0
738,CUST0000850673,0.0
739,CUST0000850666,1.0
740,CUST0000850628,1.0
741,CUST0000850267,1.0
742,CUST0000849738,0.0
743,CUST0000849576,0.0
744,CUST0000848953,0.0
745,CUST0000848908,0.0
746,CUST0000848715,1.0
747,CUST0000848525,0.0
748,CUST0000848476,1.0
749,CUST0000848462,1.0
750,CUST0000848260,1.0
751,CUST0000848123,0.0
752,CUST0000848021,0.0
753,CUST0000847695,1.0
754,CUST0000847593,0.0
755,CUST0000847557,0.0
756,CUST0000847458,0.0
757,CUST0000846938,0.0
758,CUST0000846460,0.0
759,CUST0000846201,1.0
760,CUST0000846163,0.0
761,CUST0000846113,0.0
762,CUST0000846079,0.0
763,CUST0000845893,0.0
764,CUST0000845855,0.0
765,CUST0000845331,0.0
766,CUST0000845098,1.0
767,CUST0000845052,1.0
768,CUST0000844759,0.0
769,CUST0000844724,1.0
770,CUST0000844556,1.0
771,CUST0000844192,1.0
772,CUST0000844115,0.0
773,CUST0000843968,1.0
774,CUST0000843789,1.0
775,CUST0000843768,0.0
776,CUST0000843677,0.0
777,CUST0000843662,0.0
778,CUST0000843554,0.0
779,CUST0000843286,0.0
780,CUST0000843133,1.0
781,CUST0000843130,0.0
782,CUST0000843047,1.0
783,CUST0000843006,0.0
784,CUST0000842436,1.0
785,CUST0000842172,1.0
786,CUST0000842003,0.0
787,CUST0000841880,0.0
788,CUST0000841684,1.0
789,CUST0000841576,1.0
790,CUST0000841571,0.0
791,CUST0000841531,1.0
792,CUST0000841039,0.0
793,CUST0000840789,0.0
794,CUST0000840518,0.0
795,CUST0000840471,1.0
796,CUST0000840438,0.0
797,CUST0000840360,1.0
798,CUST0000840344,0.0
799,CUST0000840138,0.0
800,CUST0000840136,0.0
801,CUST0000839847,0.0
802,CUST0000839736,0.0
803,CUST0000839302,1.0
804,CUST0000838538,1.0
805,CUST0000838258,0.0
806,CUST0000838231,0.0
807,CUST0000838103,0.0
808,CUST0000837423,1.0
809,CUST0000837409,0.0
810,CUST0000837178,1.0
811,CUST0000837146,0.0
812,CUST0000836708,1.0
813,CUST0000836537,1.0
814,CUST0000836503,0.0
815,CUST0000836042,0.0
816,CUST0000836007,0.0
817,CUST0000835845,1.0
818,CUST0000835723,0.0
819,CUST0000835716,0.0
820,CUST0000835673,1.0
821,CUST0000835559,0.0
822,CUST0000835400,1.0
823,CUST0000835390,1.0
824,CUST0000835270,1.0
825,CUST0000835203,1.0
826,CUST0000834937,0.0
827,CUST0000834512,1.0
828,CUST0000834203,1.0
829,CUST0000834066,0.0
830,CUST0000834065,0.0
831,CUST0000834029,0.0
832,CUST0000833853,0.0
833,CUST0000833729,1.0
834,CUST0000832979,0.0
835,CUST0000832937,0.0
836,CUST0000832827,1.0
837,CUST0000832345,0.0
838,CUST0000832339,0.0
839,CUST0000832283,0.0
840,CUST0000832277,0.0
841,CUST0000831705,0.0
842,CUST0000831162,0.0
843,CUST0000831085,0.0
844,CUST0000830969,1.0
845,CUST0000830529,0.0
846,CUST0000830456,1.0
847,CUST0000830424,0.0
848,CUST0000830044,0.0
849,CUST0000829489,0.0
850,CUST0000829333,0.0
851,CUST0000829233,1.0
852,CUST0000828846,1.0
853,CUST0000828166,0.0
854,CUST0000828036,0.0
855,CUST0000828022,1.0
856,CUST0000827922,0.0
857,CUST0000827856,1.0
858,CUST0000827846,0.0
859,CUST0000827750,0.0
860,CUST0000827586,0.0
861,CUST0000827575,1.0
862,CUST0000827417,1.0
863,CUST0000827111,1.0
864,CUST0000827064,1.0
865,CUST0000826996,1.0
866,CUST0000826238,1.0
867,CUST0000826229,1.0
868,CUST0000826107,0.0
869,CUST0000825713,1.0
870,CUST0000825584,1.0
871,CUST0000824998,0.0
872,CUST0000824986,1.0
873,CUST0000824641,0.0
874,CUST0000824456,1.0
875,CUST0000824453,0.0
876,CUST0000824333,0.0
877,CUST0000823558,0.0
878,CUST0000823257,1.0
879,CUST0000822648,1.0
880,CUST0000822549,1.0
881,CUST0000822468,0.0
882,CUST0000822402,0.0
883,CUST0000822356,0.0
884,CUST0000822341,0.0
885,CUST0000822315,1.0
886,CUST0000822088,0.0
887,CUST0000822085,0.0
888,CUST0000821622,0.0
889,CUST0000821330,0.0
890,CUST0000821327,1.0
891,CUST0000820448,1.0
892,CUST0000820341,1.0
893,CUST0000820324,0.0
894,CUST0000820186,1.0
895,CUST0000820108,0.0
896,CUST0000819500,1.0
897,CUST0000819195,1.0
898,CUST0000819101,1.0
899,CUST0000818932,0.0
900,CUST0000818812,0.0
901,CUST0000818250,0.0
902,CUST0000818165,0.0
903,CUST0000817991,0.0
904,CUST0000817685,1.0
905,CUST0000817461,1.0
906,CUST0000817425,0.0
907,CUST0000817281,0.0
908,CUST0000817082,0.0
909,CUST0000817002,0.0
910,CUST0000816722,1.0
911,CUST0000816691,1.0
912,CUST0000816644,0.0
913,CUST0000816474,0.0
914,CUST0000816240,0.0
915,CUST0000816127,1.0
916,CUST0000816072,0.0
917,CUST0000815839,1.0
918,CUST0000815801,0.0
919,CUST0000815647,0.0
920,CUST0000815318,0.0
921,CUST0000815118,0.0
922,CUST0000814921,1.0
923,CUST0000814766,0.0
924,CUST0000814656,0.0
925,CUST0000813956,0.0
926,CUST0000813604,0.0
927,CUST0000813194,1.0
928,CUST0000813108,0.0
929,CUST0000813105,1.0
930,CUST0000812909,0.0
931,CUST0000812640,1.0
932,CUST0000812379,0.0
933,CUST0000812179,0.0
934,CUST0000812150,1.0
935,CUST0000812101,0.0
936,CUST0000811661,0.0
937,CUST0000811618,0.0
938,CUST0000810784,0.0
939,CUST0000810379,1.0
940,CUST0000810116,0.0
941,CUST0000809886,0.0
942,CUST0000809677,1.0
943,CUST0000809605,0.0
944,CUST0000808884,1.0
945,CUST0000808639,0.0
946,CUST0000808474,0.0
947,CUST0000808290,0.0
948,CUST0000808041,0.0
949,CUST0000807919,0.0
950,CUST0000807896,0.0
951,CUST0000807441,0.0
952,CUST0000807319,1.0
953,CUST0000807225,0.0
954,CUST0000807176,0.0
955,CUST0000806551,0.0
956,CUST0000806489,1.0
957,CUST0000806331,0.0
958,CUST0000806277,1.0
959,CUST0000805980,0.0
960,CUST0000805881,0.0
961,CUST0000805786,0.0
962,CUST0000805724,1.0
963,CUST0000805651,0.0
964,CUST0000805536,1.0
965,CUST0000805533,0.0
966,CUST0000805509,0.0
967,CUST0000805211,0.0
968,CUST0000805188,0.0
969,CUST0000805089,0.0
970,CUST0000804925,0.0
971,CUST0000804675,0.0
972,CUST0000804462,0.0
973,CUST0000804275,1.0
974,CUST0000803214,1.0
975,CUST0000803113,0.0
976,CUST0000803106,0.0
977,CUST0000803065,0.0
978,CUST0000803009,1.0
979,CUST0000802910,0.0
980,CUST0000802534,0.0
981,CUST0000802332,0.0
982,CUST0000801895,0.0
983,CUST0000801309,1.0
984,CUST0000800630,1.0
985,CUST0000800342,0.0
986,CUST0000800320,1.0
987,CUST0000800237,1.0
988,CUST0000799807,0.0
989,CUST0000799729,1.0
990,CUST0000798970,1.0
991,CUST0000798688,0.0
992,CUST0000798179,0.0
993,CUST0000797981,1.0
994,CUST0000797755,0.0
995,CUST0000797753,0.0
996,CUST0000797664,1.0
997,CUST0000797294,1.0
