,CUST_CODE,LAST_WEEK,LAST_DATE,TOTAl_COME,TOTAL_SPEND,CUS_SEN_LA,CUS_SEN_MM,CUS_SEN_UM,CUS_SEN_XX,BAS_SIZE_L,BAS_SIZE_M,BAS_SIZE_S,BAS_TYPE_FULL,BAS_TYPE_SMALL,BAS_TYPE_TOP,BAS_TYPE_XX,BAS_DO_FRESH,BAS_DO_GROCERY,BAS_DO_MIX,BAS_DO_NONFOOD,STORE_FOR_XX,STORE_FOR_LS,STORE_FOR_MS,STORE_FOR_SS,STORE_FOR_XLS,CHURN
45,CUST0000022814,200613,2006-05-28,9,136.86999999999998,0,0,50,0,37,9,4,20,9,21,0,26,4,20,0,0,50,0,0,0,0
46,CUST0000023618,200613,2006-05-28,18,148.28,0,95,0,0,33,59,3,0,27,68,0,31,37,22,5,0,95,0,0,0,0
47,CUST0000026547,200612,2006-05-16,8,49.67,18,0,0,0,6,7,5,0,12,6,0,2,10,6,0,0,0,18,0,0,0
48,CUST0000028109,200614,2006-05-29,11,45.11,0,32,0,0,0,25,7,0,26,6,0,31,1,0,0,0,4,0,0,28,0
49,CUST0000029009,200614,2006-05-31,13,120.98,64,0,0,0,16,48,0,0,17,47,0,19,5,36,4,0,64,0,0,0,0
50,CUST0000029233,200613,2006-05-28,19,329.33,188,0,0,0,159,26,3,90,25,73,0,112,3,73,0,0,188,0,0,0,0
51,CUST0000029587,200614,2006-05-30,28,262.71000000000004,0,0,142,0,69,63,10,0,56,86,0,70,12,59,1,0,38,0,104,0,0
52,CUST0000029729,200613,2006-05-23,7,44.14999999999999,0,0,35,0,17,16,2,12,12,11,0,29,6,0,0,0,0,35,0,0,0
53,CUST0000030521,200614,2006-05-31,29,164.30999999999997,99,0,0,0,47,34,18,0,46,53,0,38,28,33,0,0,99,0,0,0,0
54,CUST0000031428,200614,2006-05-31,28,275.13,0,156,0,0,79,64,13,71,41,44,0,69,12,68,7,0,156,0,0,0,0
55,CUST0000032568,200613,2006-05-26,3,71.96000000000002,0,30,0,0,27,3,0,0,3,27,0,27,0,0,3,0,30,0,0,0,0
56,CUST0000037150,200614,2006-05-29,6,75.59,0,0,40,0,22,17,1,13,9,18,0,27,0,13,0,0,31,0,9,0,0
57,CUST0000038037,200612,2006-05-16,2,21.31,0,0,0,5,5,0,0,0,0,5,0,2,0,3,0,0,5,0,0,0,0
58,CUST0000038162,200613,2006-05-27,13,99.59,0,60,0,0,14,43,3,14,26,20,0,4,19,37,0,0,0,60,0,0,0
59,CUST0000040788,200614,2006-05-29,7,55.19000000000001,0,0,19,0,0,16,3,0,13,6,0,9,2,6,2,0,3,16,0,0,1
60,CUST0000041142,200613,2006-05-27,10,167.24999999999997,77,0,0,0,66,9,2,32,6,39,0,68,9,0,0,0,77,0,0,0,0
61,CUST0000041397,200612,2006-05-19,7,50.74,43,0,0,0,37,6,0,0,6,37,0,2,11,30,0,0,0,43,0,0,0
62,CUST0000041637,200613,2006-05-24,5,58.33000000000001,0,32,0,0,15,15,2,0,5,27,0,15,6,6,5,0,27,0,5,0,0
63,CUST0000041792,200614,2006-05-30,16,263.92,0,148,0,0,109,35,4,97,15,36,0,29,11,100,8,0,148,0,0,0,0
64,CUST0000041920,200612,2006-05-17,2,36.15,0,0,9,0,8,0,1,0,1,8,0,9,0,0,0,0,9,0,0,0,0
65,CUST0000042133,200612,2006-05-15,2,6.699999999999999,0,5,0,0,0,5,0,0,1,4,0,0,5,0,0,0,0,5,0,0,0
66,CUST0000043076,200614,2006-05-30,13,133.48000000000002,0,85,0,0,55,25,5,55,25,5,0,24,16,43,2,0,0,5,0,80,0
67,CUST0000044856,200614,2006-05-31,11,110.11,119,0,0,0,83,36,0,49,3,67,0,102,0,17,0,0,101,0,0,18,0
68,CUST0000045979,200613,2006-05-23,5,99.77,59,0,0,0,56,3,0,23,3,33,0,56,3,0,0,0,29,30,0,0,0
69,CUST0000046348,200614,2006-05-30,13,117.93999999999998,0,0,55,0,27,23,5,0,20,35,0,36,0,19,0,0,24,1,0,30,0
70,CUST0000046594,200614,2006-05-29,14,76.07999999999998,0,0,53,0,8,38,7,0,30,23,0,24,9,20,0,0,0,53,0,0,0
71,CUST0000048091,200612,2006-05-19,2,8.96,0,8,0,0,0,7,1,0,1,7,0,7,1,0,0,0,8,0,0,0,0
72,CUST0000048202,200613,2006-05-23,6,201.09,0,102,0,0,101,0,1,87,1,14,0,47,0,55,0,0,0,0,102,0,0
73,CUST0000048286,200613,2006-05-28,4,72.89999999999998,56,0,0,0,51,5,0,40,5,11,0,16,0,40,0,0,51,5,0,0,0
74,CUST0000049075,200613,2006-05-23,3,17.1,11,0,0,0,3,6,2,0,2,9,0,8,3,0,0,0,0,0,0,11,0
75,CUST0000049612,200614,2006-05-30,20,63.16,47,0,0,0,10,22,15,0,26,21,0,18,9,15,5,0,47,0,0,0,0
76,CUST0000049621,200613,2006-05-28,3,53.45,22,0,0,0,18,4,0,9,4,9,0,0,4,18,0,0,22,0,0,0,0
77,CUST0000050331,200613,2006-05-27,9,104.03,0,0,36,0,19,13,4,0,17,19,0,26,4,6,0,0,35,0,0,1,0
78,CUST0000050344,200614,2006-05-30,6,222.56,124,0,0,0,124,0,0,115,0,9,0,25,0,99,0,0,0,0,0,124,0
79,CUST0000051975,200613,2006-05-28,7,112.92,0,0,59,0,46,10,3,18,4,37,0,40,0,18,1,0,59,0,0,0,0
80,CUST0000052765,200613,2006-05-22,12,162.63000000000005,0,64,0,0,40,20,4,18,14,32,0,20,10,32,2,0,0,63,1,0,0
81,CUST0000052887,200614,2006-05-31,2,57.26000000000001,0,0,28,0,28,0,0,0,0,28,0,28,0,0,0,0,28,0,0,0,1
82,CUST0000053274,200613,2006-05-24,6,117.5,0,60,0,0,54,6,0,27,6,27,0,31,0,29,0,0,60,0,0,0,0
83,CUST0000053339,200612,2006-05-20,1,18.47,0,13,0,0,13,0,0,0,0,13,0,0,0,13,0,0,13,0,0,0,0
84,CUST0000053961,200613,2006-05-22,2,98.6,0,0,39,0,39,0,0,25,0,14,0,0,0,39,0,0,0,14,0,25,0
85,CUST0000055064,200614,2006-05-30,16,121.73,0,59,0,0,22,32,5,0,24,35,0,31,11,17,0,0,54,0,5,0,0
86,CUST0000055381,200611,2006-05-11,4,64.69,0,0,39,0,31,8,0,18,4,17,0,0,8,31,0,0,39,0,0,0,0
87,CUST0000055829,200614,2006-05-29,16,450.37,219,0,0,0,193,23,3,188,10,21,0,108,8,102,1,0,219,0,0,0,0
88,CUST0000057088,200614,2006-05-30,27,371.39,0,174,0,0,106,60,8,44,28,102,0,43,11,120,0,0,0,0,140,34,0
89,CUST0000060800,200611,2006-05-08,3,51.88,0,0,25,0,15,10,0,0,10,15,0,22,0,3,0,0,25,0,0,0,0
90,CUST0000060847,200613,2006-05-24,8,106.58999999999996,0,53,0,0,24,28,1,0,10,43,0,36,0,17,0,0,53,0,0,0,0
91,CUST0000061472,200613,2006-05-27,13,173.72,0,102,0,0,78,21,3,40,11,51,0,16,26,57,3,0,59,40,3,0,0
92,CUST0000062946,200613,2006-05-27,12,210.44000000000003,0,116,0,0,93,21,2,58,2,56,0,34,59,23,0,0,116,0,0,0,0
93,CUST0000063103,200613,2006-05-27,4,107.18,0,63,0,0,63,0,0,40,0,23,0,23,0,40,0,0,63,0,0,0,0
94,CUST0000063939,200612,2006-05-17,10,146.25,0,0,51,0,46,3,2,0,5,46,0,49,0,0,2,0,9,0,2,40,0
95,CUST0000065468,200609,2006-04-26,3,13.13,0,0,15,0,0,15,0,0,9,6,0,15,0,0,0,0,15,0,0,0,0
96,CUST0000067158,200614,2006-05-30,18,97.62,71,0,0,0,28,38,5,0,30,41,0,42,7,18,4,0,71,0,0,0,0
97,CUST0000068170,200614,2006-05-29,18,126.76,0,0,84,0,55,17,12,0,19,65,0,48,11,24,1,0,62,22,0,0,0
98,CUST0000069011,200614,2006-05-30,17,242.27,0,119,0,0,99,9,11,93,20,6,0,50,35,31,3,0,102,0,17,0,0
99,CUST0000069624,200614,2006-05-30,16,101.03,63,0,0,0,22,35,6,10,30,23,0,23,15,19,6,0,2,45,0,16,0
100,CUST0000071264,200609,2006-04-26,1,13.0,0,11,0,0,11,0,0,0,0,11,0,11,0,0,0,0,0,11,0,0,0
101,CUST0000072800,200613,2006-05-24,6,173.42000000000004,0,0,97,0,97,0,0,79,0,18,0,73,2,22,0,0,97,0,0,0,0
102,CUST0000073199,200614,2006-05-30,30,346.92,0,154,0,0,99,43,12,28,49,77,0,105,10,37,2,0,32,122,0,0,0
103,CUST0000074341,200611,2006-05-11,6,57.01000000000001,0,26,0,0,12,14,0,0,4,22,0,26,0,0,0,0,0,0,3,23,0
104,CUST0000074550,200608,2006-04-18,3,13.06,0,0,0,12,0,12,0,0,6,6,0,6,0,6,0,0,6,0,6,0,1
105,CUST0000074601,200611,2006-05-14,2,29.520000000000003,0,17,0,0,12,5,0,0,5,12,0,17,0,0,0,0,17,0,0,0,0
106,CUST0000075112,200614,2006-05-30,10,87.0,0,54,0,0,16,38,0,0,27,27,0,27,3,24,0,0,34,0,20,0,0
107,CUST0000077708,200614,2006-05-31,11,262.42999999999995,0,0,132,0,125,2,5,22,7,103,0,129,3,0,0,0,132,0,0,0,0
108,CUST0000077998,200612,2006-05-20,6,253.57999999999996,102,0,0,0,97,4,1,89,5,8,0,7,6,89,0,0,102,0,0,0,0
109,CUST0000078020,200614,2006-05-31,21,61.78999999999999,45,0,0,0,3,33,9,0,42,3,0,9,23,13,0,0,0,45,0,0,0
110,CUST0000078429,200614,2006-05-31,31,165.35000000000005,125,0,0,0,37,71,17,21,30,74,0,21,68,35,1,0,79,25,0,21,0
111,CUST0000078777,200613,2006-05-26,16,171.97,123,0,0,0,99,15,9,70,19,34,0,54,12,55,2,0,0,123,0,0,0
112,CUST0000079114,200613,2006-05-25,3,21.76,0,0,12,0,0,11,1,0,4,8,0,0,4,8,0,0,12,0,0,0,0
113,CUST0000080301,200613,2006-05-25,8,47.11,0,0,34,0,0,32,2,0,14,20,0,26,0,8,0,0,0,34,0,0,0
114,CUST0000081255,200614,2006-05-30,16,237.92999999999995,0,86,0,0,15,70,1,0,37,49,0,49,7,30,0,0,86,0,0,0,0
115,CUST0000081357,200613,2006-05-26,7,34.19,0,0,12,0,4,1,7,0,8,4,0,6,6,0,0,0,8,1,0,3,0
116,CUST0000084449,200614,2006-05-30,18,299.00000000000006,0,156,0,0,121,29,6,108,25,23,0,54,1,99,2,0,107,0,4,45,0
117,CUST0000084849,200613,2006-05-25,9,127.07,0,0,66,0,43,21,2,0,2,64,0,59,0,6,1,0,66,0,0,0,0
118,CUST0000085249,200614,2006-05-31,7,62.97,0,0,41,0,21,19,1,0,10,31,0,26,5,10,0,0,0,41,0,0,0
119,CUST0000085435,200614,2006-05-29,8,131.44,62,0,0,0,53,6,3,30,9,23,0,53,6,3,0,0,62,0,0,0,0
120,CUST0000086768,200613,2006-05-27,12,228.26,0,120,0,0,91,27,2,59,7,54,0,0,10,107,3,0,120,0,0,0,0
121,CUST0000087799,200613,2006-05-25,1,7.34,0,0,9,0,0,9,0,0,0,9,0,9,0,0,0,0,0,9,0,0,0
122,CUST0000087833,200613,2006-05-23,4,117.48,0,0,66,0,64,0,2,21,2,43,0,32,0,34,0,0,21,0,45,0,0
123,CUST0000088232,200614,2006-05-31,17,122.25,0,0,61,0,26,24,11,0,35,26,0,58,3,0,0,0,4,57,0,0,0
124,CUST0000088575,200614,2006-05-31,15,252.19,65,0,0,0,37,18,10,25,22,18,0,21,30,14,0,0,44,15,6,0,0
125,CUST0000088955,200613,2006-05-26,20,125.85,0,85,0,0,33,43,9,11,23,51,0,53,5,25,2,0,81,0,4,0,0
126,CUST0000089820,200614,2006-05-31,20,174.2,145,0,0,0,112,27,6,35,24,86,0,58,22,65,0,0,145,0,0,0,0
127,CUST0000091896,200614,2006-05-29,22,639.05,0,179,0,0,134,43,2,85,22,72,0,58,48,73,0,0,167,12,0,0,0
128,CUST0000092839,200613,2006-05-28,11,72.32,0,0,30,0,9,12,9,0,15,15,0,11,13,6,0,0,27,3,0,0,0
129,CUST0000093607,200613,2006-05-28,12,47.56,42,0,0,0,0,37,5,0,19,23,0,19,4,19,0,0,42,0,0,0,0
130,CUST0000096570,200614,2006-05-30,9,102.12,0,0,61,0,16,45,0,0,8,53,0,37,0,24,0,0,61,0,0,0,0
131,CUST0000097065,200614,2006-05-30,1,4.8,0,4,0,0,0,4,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0
132,CUST0000097252,200614,2006-05-30,11,168.20999999999995,0,0,77,0,59,16,2,19,2,54,2,67,0,8,0,2,76,0,1,0,0
133,CUST0000098174,200613,2006-05-27,8,115.24,0,74,0,0,67,3,4,57,7,10,0,27,29,18,0,0,13,0,0,61,0
134,CUST0000098775,200613,2006-05-24,3,42.62000000000001,0,0,25,0,21,4,0,0,4,21,0,25,0,0,0,0,25,0,0,0,0
135,CUST0000099530,200613,2006-05-28,11,191.02,0,135,0,0,122,11,2,91,5,39,0,47,0,86,2,0,100,0,35,0,0
136,CUST0000100955,200613,2006-05-23,5,66.75,0,29,0,0,18,9,2,0,7,22,0,23,0,6,0,0,29,0,0,0,0
137,CUST0000101162,200613,2006-05-27,4,72.39999999999998,0,0,32,0,29,3,0,0,3,29,0,10,10,12,0,0,0,32,0,0,0
138,CUST0000101185,200613,2006-05-26,8,75.31,78,0,0,0,63,14,1,29,8,41,0,57,0,21,0,0,0,78,0,0,0
139,CUST0000102383,200614,2006-05-29,7,24.72,0,0,21,0,0,17,4,0,8,13,0,20,1,0,0,0,0,21,0,0,0
140,CUST0000104986,200613,2006-05-25,8,120.1,0,69,0,0,67,0,2,0,2,67,0,29,2,38,0,0,0,69,0,0,0
141,CUST0000105652,200612,2006-05-16,5,93.35,0,47,0,0,47,0,0,0,0,47,0,22,9,16,0,0,0,47,0,0,0
142,CUST0000106639,200613,2006-05-23,8,106.04,0,0,42,0,21,20,1,0,2,40,0,31,0,6,5,0,42,0,0,0,0
143,CUST0000107301,200610,2006-05-07,5,78.74000000000002,0,47,0,0,31,15,1,16,1,30,0,16,0,31,0,0,0,47,0,0,0
144,CUST0000109079,200613,2006-05-28,12,160.39999999999995,111,0,0,0,102,5,4,44,9,58,0,25,0,81,5,0,84,27,0,0,0
145,CUST0000111137,200613,2006-05-22,6,80.53,67,0,0,0,66,0,1,17,1,49,0,23,17,27,0,0,40,27,0,0,0
146,CUST0000111673,200613,2006-05-28,8,87.5,0,53,0,0,34,18,1,25,13,15,0,6,13,34,0,0,49,4,0,0,0
147,CUST0000112178,200611,2006-05-11,4,40.93000000000001,0,0,24,0,11,13,0,0,0,24,0,24,0,0,0,0,0,24,0,0,0
148,CUST0000112467,200614,2006-05-30,23,305.1500000000001,178,0,0,0,128,41,9,89,18,71,0,100,21,57,0,0,177,1,0,0,0
149,CUST0000121178,200613,2006-05-25,7,137.04000000000002,0,72,0,0,63,7,2,40,2,30,0,9,0,63,0,0,72,0,0,0,0
150,CUST0000121998,200612,2006-05-21,3,17.28,0,13,0,0,0,11,2,0,7,6,0,13,0,0,0,0,13,0,0,0,0
151,CUST0000124113,200613,2006-05-27,11,40.63,43,0,0,0,0,38,5,0,24,19,0,26,1,16,0,0,3,0,40,0,0
152,CUST0000126750,200613,2006-05-27,5,29.31,0,21,0,0,0,20,1,0,6,15,0,5,6,9,1,0,5,0,0,16,0
153,CUST0000127498,200613,2006-05-27,17,282.87,157,0,0,0,131,20,6,116,15,26,0,74,24,50,9,0,0,157,0,0,0
154,CUST0000128804,200612,2006-05-17,2,10.28,0,0,0,9,0,9,0,0,0,9,0,9,0,0,0,0,9,0,0,0,1
155,CUST0000131635,200613,2006-05-28,13,130.36,0,107,0,0,73,30,4,18,7,82,0,64,0,43,0,0,0,107,0,0,0
156,CUST0000132235,200614,2006-05-30,40,439.10999999999984,295,0,0,0,184,94,17,177,68,50,0,83,29,183,0,0,2,290,0,3,0
157,CUST0000134957,200612,2006-05-20,10,120.58999999999996,0,86,0,0,77,4,5,41,5,40,0,14,3,69,0,0,86,0,0,0,0
158,CUST0000137504,200614,2006-05-31,8,180.51,101,0,0,0,93,8,0,35,0,66,0,52,0,49,0,0,101,0,0,0,0
159,CUST0000138774,200614,2006-05-30,18,275.98999999999995,0,155,0,0,122,23,10,85,21,49,0,82,2,70,1,0,155,0,0,0,0
160,CUST0000139484,200614,2006-05-29,11,170.28999999999996,0,84,0,0,70,12,2,24,3,57,0,39,1,43,1,0,83,0,0,1,0
161,CUST0000140438,200611,2006-05-14,2,39.39,0,0,15,0,9,6,0,0,6,9,0,15,0,0,0,0,15,0,0,0,0
162,CUST0000141657,200613,2006-05-24,11,192.53,43,0,0,0,20,21,2,0,18,25,0,38,1,4,0,0,42,0,0,1,0
163,CUST0000142059,200614,2006-05-30,8,57.18000000000001,0,56,0,0,26,30,0,0,4,52,0,49,0,7,0,0,0,56,0,0,0
164,CUST0000142485,200613,2006-05-28,15,211.22000000000003,110,0,0,0,76,34,0,13,14,83,0,90,0,20,0,0,110,0,0,0,0
165,CUST0000142549,200614,2006-05-31,17,306.0499999999999,0,119,0,0,83,35,1,15,16,88,0,60,7,41,11,0,89,1,0,29,0
166,CUST0000142590,200613,2006-05-25,14,446.42000000000013,0,0,208,0,198,5,5,187,10,11,0,101,5,100,2,0,208,0,0,0,0
167,CUST0000143009,200614,2006-05-29,31,319.83,170,0,0,0,98,61,11,18,54,98,0,87,36,47,0,0,55,115,0,0,0
168,CUST0000143770,200613,2006-05-26,12,229.74,140,0,0,0,136,1,3,130,4,6,0,21,13,105,1,0,140,0,0,0,0
169,CUST0000143857,200613,2006-05-27,4,67.43,49,0,0,0,47,0,2,22,2,25,0,27,0,22,0,0,0,49,0,0,0
170,CUST0000144313,200612,2006-05-20,4,51.6,0,33,0,0,26,7,0,0,0,33,0,23,0,10,0,0,27,0,6,0,0
171,CUST0000145363,200613,2006-05-26,8,183.78,0,55,0,0,34,21,0,28,7,20,0,14,20,21,0,0,46,9,0,0,0
172,CUST0000145809,200613,2006-05-28,2,32.06,0,22,0,0,17,5,0,0,5,17,0,5,0,17,0,0,22,0,0,0,0
173,CUST0000146488,200613,2006-05-23,2,26.21,0,16,0,0,13,3,0,0,3,13,0,16,0,0,0,0,16,0,0,0,0
174,CUST0000146770,200613,2006-05-26,15,234.79,0,162,0,0,137,24,1,41,9,112,0,38,31,93,0,0,0,162,0,0,0
175,CUST0000148783,200613,2006-05-24,31,198.8,0,153,0,0,57,87,9,0,49,104,0,10,110,33,0,0,153,0,0,0,0
176,CUST0000149077,200613,2006-05-28,8,53.19,0,36,0,0,14,20,2,14,15,7,0,23,3,7,3,0,0,16,0,20,0
177,CUST0000149263,200613,2006-05-24,7,16.92,0,0,17,0,0,9,8,0,11,6,0,3,2,10,2,0,17,0,0,0,0
178,CUST0000149331,200613,2006-05-27,9,78.02,0,43,0,0,14,28,1,0,12,31,0,21,7,15,0,0,0,43,0,0,0
179,CUST0000149344,200613,2006-05-22,5,65.75,0,0,38,0,27,11,0,0,11,27,0,35,0,0,3,0,38,0,0,0,0
180,CUST0000149372,200614,2006-05-29,8,57.290000000000006,34,0,0,0,19,14,1,0,7,27,0,11,23,0,0,0,34,0,0,0,0
181,CUST0000149716,200612,2006-05-16,5,39.56,0,25,0,0,14,9,2,0,5,20,0,18,6,0,1,0,25,0,0,0,0
182,CUST0000150282,200612,2006-05-17,7,29.77,0,30,0,0,10,17,3,0,14,16,0,18,12,0,0,0,29,1,0,0,0
183,CUST0000151825,200614,2006-05-29,32,183.11000000000004,119,0,0,0,35,62,22,0,56,63,0,69,8,40,2,0,119,0,0,0,0
184,CUST0000152233,200613,2006-05-28,11,193.2,94,0,0,0,84,3,7,69,7,15,3,13,0,78,0,3,94,0,0,0,0
185,CUST0000154831,200613,2006-05-28,9,37.69,13,0,0,0,1,7,5,0,12,1,0,2,6,0,5,0,13,0,0,0,0
186,CUST0000156198,200613,2006-05-27,11,124.38,71,0,0,0,33,35,3,19,15,37,0,66,1,3,1,0,9,48,0,14,0
187,CUST0000158544,200614,2006-05-29,12,90.35000000000002,0,55,0,0,27,25,3,0,17,38,0,20,24,11,0,0,55,0,0,0,0
188,CUST0000158853,200613,2006-05-23,4,78.31,0,0,43,0,37,5,1,18,6,19,0,5,1,37,0,0,43,0,0,0,0
189,CUST0000159682,200614,2006-05-31,10,66.4,0,47,0,0,13,31,3,0,16,31,0,27,5,13,2,0,46,0,1,0,0
190,CUST0000159862,200614,2006-05-31,11,97.79999999999998,0,49,0,0,31,13,5,0,18,31,0,9,3,31,6,0,47,2,0,0,0
191,CUST0000159864,200613,2006-05-23,3,37.79,26,0,0,0,25,1,0,18,1,7,0,1,0,25,0,0,0,0,0,26,1
192,CUST0000160456,200613,2006-05-28,23,154.86,107,0,0,0,61,36,10,33,34,40,0,37,42,26,2,0,107,0,0,0,0
193,CUST0000161286,200610,2006-05-06,1,32.72,0,3,0,0,3,0,0,0,0,3,0,0,3,0,0,0,3,0,0,0,0
