CUST_CODE,LAST_WEEK,LAST_DATE,TOTAL_COME,TOTAL_SPEND,CUS_SEN_LA,CUS_SEN_MM,CUS_SEN_UM,CUS_SEN_XX,BAS_SIZE_L,BAS_SIZE_M,BAS_SIZE_S,BAS_TYPE_FULL,BAS_TYPE_SMALL,BAS_TYPE_TOP,BAS_TYPE_XX,BAS_DO_FRESH,BAS_DO_GROCERY,BAS_DO_MIX,BAS_DO_NONFOOD,STORE_FOR_LS,STORE_FOR_MS,STORE_FOR_SS,STORE_FOR_XLS,STORE_FOR_XX,Total_CHURN
CUST0000995062,200805,2008-03-28,116,1540.27,688,0,0,0,442,213,33,163,143,381,1,262,109,296,20,683,2,3,0,1,0.0
CUST0000994627,200805,2008-03-26,2,28.6,0,22,0,0,16,6,0,0,0,22,0,0,6,16,0,6,0,16,0,0,1.0
CUST0000994500,200801,2008-03-02,5,16.02,10,0,0,0,0,5,5,0,5,5,0,8,0,2,0,6,4,0,0,0,1.0
CUST0000994456,200805,2008-03-30,279,1788.93,935,0,0,0,237,536,162,71,453,409,2,405,119,315,94,935,0,0,0,2,0.0
CUST0000994430,200708,2007-04-19,6,24.92,17,0,0,0,0,13,4,0,13,4,0,10,6,0,1,17,0,0,0,0,1.0
CUST0000994325,200732,2007-10-06,1,12.63,11,0,0,0,11,0,0,0,0,11,0,0,0,11,0,0,11,0,0,0,1.0
CUST0000994273,200806,2008-03-31,28,87.16,0,79,0,0,9,50,20,0,68,11,0,56,6,17,0,0,79,0,0,0,0.0
CUST0000994225,200805,2008-03-26,281,2932.1899999999991,0,0,1483,0,958,419,106,117,344,1022,0,1071,37,347,28,1430,38,11,4,0,0.0
CUST0000994092,200805,2008-03-26,145,3417.07,0,2075,0,0,1906,144,25,1493,81,501,0,910,38,1118,9,2032,1,0,42,0,0.0
CUST0000994026,200726,2007-08-21,1,5.26,0,0,0,3,0,3,0,0,3,0,0,3,0,0,0,0,3,0,0,0,1.0
CUST0000993845,200714,2007-05-28,1,8.29,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1.0
CUST0000993716,200728,2007-09-05,1,111.41,0,52,0,0,52,0,0,52,0,0,0,0,0,52,0,0,52,0,0,0,1.0
CUST0000993604,200806,2008-03-31,158,1344.65,0,789,0,0,384,339,66,119,277,393,0,569,53,136,31,5,739,39,6,0,0.0
CUST0000993466,200752,2008-02-21,6,79.5,0,26,0,0,7,18,1,0,7,18,1,14,4,7,0,0,26,0,0,1,2.0
CUST0000993271,200719,2007-07-03,112,2652.88,0,0,1478,0,1345,103,30,1302,89,87,0,762,16,695,5,91,1387,0,0,0,1.0
CUST0000993082,200805,2008-03-28,136,1921.84,0,579,0,0,323,193,63,263,200,113,3,134,118,279,45,579,0,0,0,3,0.0
CUST0000992774,200748,2008-01-24,77,610.8,0,378,0,0,201,154,23,20,105,253,0,235,42,101,0,348,0,0,30,0,1.0
CUST0000992773,200803,2008-03-16,11,44.500000000000007,30,0,0,0,0,28,2,0,30,0,0,12,16,2,0,0,3,27,0,0,0.0
CUST0000992596,200805,2008-03-24,39,399.15,0,0,172,0,64,97,11,0,56,116,0,106,16,38,12,168,4,0,0,0,0.0
CUST0000992462,200749,2008-02-03,8,149.62,0,0,57,0,49,5,3,0,3,53,1,20,1,35,0,57,0,0,0,1,3.0
CUST0000992313,200805,2008-03-30,174,4990.5200000000013,0,0,1669,0,1499,158,12,394,96,1179,0,1112,136,418,3,12,48,0,1609,0,0.0
CUST0000992272,200617,2006-06-20,3,8.5400000000000009,0,8,0,0,0,5,3,0,3,5,0,5,1,2,0,0,0,3,5,0,1.0
CUST0000992117,200752,2008-02-22,1,0.53,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,
CUST0000991565,200805,2008-03-26,40,93.41,64,0,0,0,0,32,32,0,59,4,1,10,11,9,33,63,1,0,0,1,2.0
CUST0000991376,200805,2008-03-28,75,276.14,0,0,194,0,19,118,57,0,127,65,2,73,34,73,12,115,79,0,0,2,0.0
CUST0000991337,200802,2008-03-06,40,454.39,0,0,273,0,183,78,12,56,61,156,0,159,15,97,2,241,30,2,0,0,0.0
CUST0000991195,200746,2008-01-09,81,354.1,211,0,0,0,37,124,50,0,135,76,0,56,79,69,7,0,211,0,0,0,2.0
CUST0000991150,200714,2007-05-29,1,8.129999999999999,0,0,0,4,0,4,0,0,4,0,0,0,0,4,0,4,0,0,0,0,1.0
CUST0000990401,200805,2008-03-30,206,2930.32,0,0,1569,0,1111,418,40,115,266,1186,2,1233,45,271,18,1202,359,8,0,2,0.0
CUST0000990193,200639,2006-11-20,2,46.79,40,0,0,0,40,0,0,30,0,10,0,10,0,30,0,0,40,0,0,0,1.0
CUST0000990077,200805,2008-03-26,20,356.92,228,0,0,0,211,10,7,156,13,59,0,3,49,173,3,14,0,0,214,0,3.0
CUST0000990044,200805,2008-03-26,94,984.10000000000014,839,0,0,0,780,58,1,185,15,638,1,230,210,398,0,0,0,0,839,1,0.0
CUST0000989488,200803,2008-03-16,79,2010.7300000000002,0,0,903,0,804,70,29,534,46,323,0,628,33,235,7,878,23,0,2,0,0.0
CUST0000989318,200805,2008-03-28,145,3522.4000000000005,0,1771,0,0,1512,216,43,1262,165,344,0,911,32,815,13,1689,12,70,0,0,0.0
CUST0000989268,200640,2006-12-01,10,41.050000000000004,22,0,0,0,0,14,8,0,12,10,0,5,2,14,1,0,22,0,0,0,1.0
CUST0000989103,200806,2008-03-31,74,3298.53,0,1422,0,0,1371,39,12,1187,35,200,0,869,10,536,7,0,1422,0,0,0,0.0
CUST0000988538,200802,2008-03-08,21,132.70000000000002,0,0,73,0,20,39,14,0,42,31,0,51,4,18,0,14,44,0,15,0,2.0
CUST0000988276,200704,2007-03-22,7,41.14,0,0,32,0,19,9,4,0,13,19,0,28,3,0,1,0,0,32,0,0,1.0
CUST0000988262,200728,2007-09-05,1,103.7,0,40,0,0,40,0,0,40,0,0,0,0,0,40,0,40,0,0,0,0,1.0
CUST0000987979,200612,2006-05-21,1,42.22,24,0,0,0,24,0,0,24,0,0,0,24,0,0,0,0,0,0,24,0,1.0
CUST0000987769,200802,2008-03-05,87,634.12000000000012,297,0,0,0,143,91,63,118,126,53,0,212,36,39,10,232,32,13,20,0,0.0
CUST0000987552,200805,2008-03-27,40,572.88,315,0,0,0,234,68,13,130,27,158,0,145,38,131,1,315,0,0,0,0,0.0
CUST0000987542,200805,2008-03-28,147,1282.38,0,0,555,0,246,279,30,0,289,257,9,232,164,149,1,555,0,0,0,9,0.0
CUST0000987265,200804,2008-03-20,107,1193.5500000000002,0,635,0,0,374,224,37,119,150,366,0,400,14,216,5,0,0,635,0,0,0.0
CUST0000986685,200726,2007-08-22,56,123.74000000000001,0,91,0,0,0,18,73,0,91,0,0,87,1,3,0,90,1,0,0,0,1.0
CUST0000986665,200745,2008-01-01,1,4.69,0,0,0,3,0,3,0,0,3,0,0,0,3,0,0,0,3,0,0,0,1.0
CUST0000986591,200805,2008-03-24,158,1499.7,0,598,0,0,272,252,74,99,220,277,2,273,58,244,21,17,4,577,0,2,0.0
CUST0000986342,200717,2007-06-22,1,1.95,0,0,0,3,0,3,0,0,3,0,0,0,0,3,0,3,0,0,0,0,1.0
CUST0000986262,200805,2008-03-26,152,559.15,0,0,390,0,0,261,129,0,296,90,4,204,105,72,5,5,0,385,0,4,0.0
CUST0000986165,200806,2008-03-31,187,1960.39,0,1002,0,0,606,314,82,300,303,399,0,547,26,413,16,976,2,24,0,0,0.0
CUST0000985648,200737,2007-11-07,31,210.47000000000003,95,0,0,0,34,55,6,0,57,38,0,18,67,10,0,89,6,0,0,0,1.0
CUST0000985595,200713,2007-05-25,1,1.48,0,0,0,2,0,0,2,0,2,0,0,2,0,0,0,2,0,0,0,0,1.0
CUST0000985435,200805,2008-03-28,10,24.96,0,19,0,0,0,11,8,0,13,6,0,15,1,3,0,0,0,19,0,0,0.0
CUST0000985379,200806,2008-03-31,219,1355.9599999999998,0,896,0,0,150,658,88,11,411,474,0,456,138,272,30,529,72,79,216,0,0.0
CUST0000985355,200609,2006-04-30,1,28.26,16,0,0,0,16,0,0,16,0,0,0,16,0,0,0,0,0,16,0,0,1.0
CUST0000985163,200806,2008-03-31,124,826.38000000000011,0,0,494,0,195,234,65,0,187,307,0,362,28,77,27,8,178,308,0,0,0.0
CUST0000985022,200803,2008-03-13,87,604.75,0,0,172,0,24,65,83,0,128,39,5,90,27,39,11,13,147,12,0,5,0.0
CUST0000984963,200805,2008-03-27,64,992.53000000000009,0,0,598,0,410,176,12,285,61,251,1,268,6,318,5,598,0,0,0,1,0.0
CUST0000984916,200803,2008-03-16,9,21.05,0,0,0,14,0,9,5,0,10,0,4,9,0,0,1,14,0,0,0,4,2.0
CUST0000984828,200712,2007-05-17,32,138.75000000000003,80,0,0,0,13,49,18,0,54,26,0,5,30,39,6,0,0,0,80,0,1.0
CUST0000984808,200735,2007-10-27,1,3.96,0,0,0,4,0,4,0,0,0,4,0,4,0,0,0,4,0,0,0,0,1.0
CUST0000984478,200701,2007-03-03,1,24.85,0,21,0,0,21,0,0,21,0,0,0,21,0,0,0,21,0,0,0,0,1.0
CUST0000984094,200805,2008-03-29,104,834.53,0,0,404,0,229,130,45,0,205,188,11,196,80,109,8,351,0,40,13,11,0.0
CUST0000983830,200805,2008-03-28,158,1163.34,0,573,0,0,207,310,56,0,278,295,0,401,52,111,9,535,38,0,0,0,0.0
CUST0000983579,200741,2007-12-09,2,17.92,0,12,0,0,8,4,0,0,4,8,0,12,0,0,0,12,0,0,0,0,1.0
CUST0000983323,200802,2008-03-03,31,222.60999999999999,0,0,91,0,38,32,21,0,49,42,0,60,5,23,3,10,2,0,79,0,0.0
CUST0000982560,200805,2008-03-25,35,339.43,0,158,0,0,71,68,19,32,53,73,0,31,32,93,2,158,0,0,0,0,0.0
CUST0000982155,200752,2008-02-21,5,15.16,0,0,0,9,0,6,3,0,4,5,0,9,0,0,0,3,1,5,0,0,3.0
CUST0000981925,200806,2008-03-31,135,4633.170000000001,1946,0,0,0,1871,47,28,1725,64,157,0,1282,54,592,18,1936,5,0,5,0,0.0
CUST0000981826,200806,2008-03-31,484,1393.1299999999999,0,1106,0,0,206,381,519,158,834,108,6,159,615,269,57,324,3,0,779,6,0.0
CUST0000981759,200743,2007-12-21,2,9.57,0,0,0,6,0,5,1,0,1,5,0,0,5,0,1,5,0,1,0,0,2.0
CUST0000981610,200801,2008-03-02,29,125.29,108,0,0,0,21,78,9,0,73,35,0,71,12,20,5,0,5,103,0,0,0.0
CUST0000981542,200805,2008-03-26,87,643.05,166,0,0,0,12,81,73,0,134,31,1,75,38,19,33,166,0,0,0,1,0.0
CUST0000981494,200724,2007-08-06,4,116.59,0,0,55,0,55,0,0,15,0,40,0,45,0,10,0,0,0,0,55,0,1.0
CUST0000980958,200729,2007-09-10,1,14.29,0,9,0,0,0,9,0,0,0,9,0,9,0,0,0,0,0,0,9,0,1.0
CUST0000980779,200805,2008-03-27,43,508.33000000000004,0,0,249,0,139,97,13,122,78,44,5,42,36,132,34,231,5,13,0,5,0.0
CUST0000980514,200745,2008-01-06,1,2.36,0,0,0,2,0,0,2,0,2,0,0,2,0,0,0,0,0,2,0,0,1.0
CUST0000980418,200805,2008-03-29,251,4403.4500000000007,0,2228,0,0,1826,341,61,1184,236,806,2,748,289,1178,11,2224,4,0,0,2,0.0
CUST0000980408,200637,2006-11-11,29,54.93,0,0,42,0,0,10,32,0,42,0,0,19,6,7,10,42,0,0,0,0,1.0
CUST0000980244,200804,2008-03-19,69,1835.64,1094,0,0,0,1062,29,3,853,6,235,0,288,10,795,1,1,0,1093,0,0,0.0
CUST0000980026,200747,2008-01-15,33,677.99000000000012,0,330,0,0,289,31,10,210,21,99,0,121,11,197,1,330,0,0,0,0,1.0
CUST0000979780,200805,2008-03-25,137,3096.84,0,0,1490,0,1341,129,20,803,115,571,1,840,44,589,16,1490,0,0,0,1,0.0
CUST0000979243,200752,2008-02-21,66,754.16999999999985,0,0,364,0,189,148,27,33,92,239,0,266,52,46,0,325,1,38,0,0,1.0
CUST0000979107,200804,2008-03-18,4,19.759999999999998,0,0,0,9,0,8,1,0,9,0,0,9,0,0,0,9,0,0,0,0,0.0
CUST0000978956,200805,2008-03-26,21,180.88,0,95,0,0,51,39,5,12,22,61,0,13,44,36,2,95,0,0,0,0,0.0
CUST0000978795,200802,2008-03-07,104,2095.91,0,1094,0,0,998,93,3,405,25,661,3,546,98,445,2,19,1075,0,0,3,0.0
CUST0000978286,200802,2008-03-04,53,593.13,321,0,0,0,238,59,24,148,52,121,0,125,23,165,8,226,15,80,0,0,0.0
CUST0000978270,200805,2008-03-28,61,1830.04,0,0,715,0,639,66,10,304,55,356,0,273,136,305,1,703,0,12,0,0,0.0
CUST0000978130,200730,2007-09-22,1,9.16,0,0,0,2,0,2,0,0,2,0,0,0,2,0,0,2,0,0,0,0,1.0
CUST0000977889,200607,2006-04-14,1,8.370000000000001,0,0,0,5,0,5,0,0,5,0,0,5,0,0,0,0,0,0,5,0,1.0
CUST0000977878,200706,2007-04-04,6,47.839999999999996,0,26,0,0,12,11,3,0,7,19,0,1,4,21,0,25,1,0,0,0,1.0
CUST0000977551,200637,2006-11-12,86,1548.1299999999999,1007,0,0,0,829,159,19,688,67,252,0,155,80,765,7,995,10,0,2,0,1.0
CUST0000977193,200806,2008-03-31,113,671.96,310,0,0,0,93,120,97,66,179,65,0,116,72,108,14,255,54,0,1,0,0.0
CUST0000977162,200803,2008-03-15,28,332.51,233,0,0,0,184,31,18,159,49,25,0,36,77,114,6,220,7,6,0,0,1.0
CUST0000976866,200619,2006-07-06,4,84.4,46,0,0,0,36,10,0,18,4,24,0,18,4,24,0,28,18,0,0,0,1.0
CUST0000976863,200703,2007-03-17,2,41.89,0,18,0,0,18,0,0,0,0,18,0,8,0,10,0,18,0,0,0,0,1.0
CUST0000976731,200713,2007-05-26,44,301.75,200,0,0,0,102,75,23,52,63,82,3,85,21,87,4,8,192,0,0,3,1.0
CUST0000976555,200735,2007-10-23,3,12.17,0,0,0,6,0,4,2,0,6,0,0,5,0,0,1,6,0,0,0,0,2.0
CUST0000976529,200805,2008-03-30,598,3603.58,2816,0,0,0,1220,1378,218,387,1096,1333,0,1791,280,720,25,2483,49,273,11,0,0.0
CUST0000975940,200806,2008-03-31,660,6940.6900000000005,0,0,3494,0,1650,1678,166,296,1101,2092,5,1710,448,1263,68,200,105,3189,0,5,0.0
CUST0000975797,200728,2007-09-06,35,306.84999999999997,199,0,0,0,131,56,12,26,52,120,1,93,43,61,1,0,0,0,199,1,1.0
CUST0000975676,200805,2008-03-30,58,856.24,0,0,350,0,235,101,14,49,90,210,1,162,42,135,10,315,3,20,12,1,1.0
CUST0000975317,200728,2007-09-09,1,0.96,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1.0
CUST0000975272,200806,2008-03-31,459,3644.610000000001,0,0,2255,0,1189,779,287,582,644,1019,10,1450,108,681,6,1572,683,0,0,10,0.0
CUST0000975006,200746,2008-01-08,8,274.12,113,0,0,0,97,16,0,73,0,40,0,29,13,71,0,0,0,113,0,0,1.0
CUST0000974910,200609,2006-04-24,1,6.32,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1.0
CUST0000974781,200716,2007-06-12,1,74.56,0,0,39,0,39,0,0,39,0,0,0,0,0,39,0,0,0,0,39,0,1.0
CUST0000974742,200649,2007-01-29,1,1.54,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1.0
CUST0000974546,200805,2008-03-28,93,1294.21,0,574,0,0,389,158,27,159,114,300,1,278,17,266,12,574,0,0,0,1,0.0
CUST0000974519,200804,2008-03-17,56,499.31000000000006,0,227,0,0,58,157,12,0,94,133,0,121,17,78,11,227,0,0,0,0,0.0
CUST0000974365,200629,2006-09-13,1,26.33,0,14,0,0,14,0,0,14,0,0,0,0,0,14,0,0,14,0,0,0,1.0
CUST0000974297,200805,2008-03-29,222,4587.35,0,0,1182,0,764,350,68,96,283,798,5,675,183,277,42,1182,0,0,0,5,0.0
CUST0000973965,200805,2008-03-27,152,2113.3700000000003,0,803,0,0,527,241,35,155,170,477,1,296,92,399,15,734,17,52,0,1,0.0
CUST0000973403,200731,2007-09-27,2,14.49,0,10,0,0,0,10,0,0,2,8,0,0,0,8,2,10,0,0,0,0,1.0
CUST0000972938,200717,2007-06-18,18,77.999999999999986,0,71,0,0,22,38,11,16,49,6,0,34,5,32,0,55,16,0,0,0,1.0
CUST0000972290,200750,2008-02-06,56,481.07000000000005,298,0,0,0,147,133,18,61,85,152,0,103,66,123,6,272,21,5,0,0,0.0
CUST0000972119,200716,2007-06-14,8,48.050000000000004,0,0,29,0,15,7,7,15,10,4,0,19,3,7,0,27,0,2,0,0,2.0
CUST0000972049,200804,2008-03-19,8,30.46,0,16,0,0,4,9,3,0,12,4,0,9,5,0,2,14,2,0,0,0,2.0
CUST0000971991,200804,2008-03-23,72,899.90000000000009,0,0,425,0,284,125,16,19,120,285,1,320,18,85,1,290,133,0,2,1,0.0
CUST0000971929,200806,2008-03-31,40,994.35,0,506,0,0,474,23,9,200,24,282,0,363,20,122,1,503,0,3,0,0,1.0
CUST0000971718,200805,2008-03-30,3,87.31,0,48,0,0,48,0,0,18,0,30,0,48,0,0,0,0,0,48,0,0,
CUST0000971672,200711,2007-05-09,19,86.56,0,0,47,0,0,33,14,0,32,15,0,33,6,6,2,1,46,0,0,0,1.0
CUST0000971633,200805,2008-03-26,60,1515.6200000000003,0,0,488,0,380,94,14,109,54,325,0,246,38,204,0,481,0,7,0,0,0.0
CUST0000971355,200716,2007-06-12,9,81.87,0,57,0,0,31,21,5,19,11,27,0,34,2,19,2,57,0,0,0,0,1.0
CUST0000971298,200749,2008-01-29,48,269.58000000000004,0,195,0,0,58,105,32,0,94,97,4,110,17,53,11,187,0,0,8,4,1.0
CUST0000971178,200713,2007-05-25,19,226.5,0,133,0,0,70,55,8,53,29,51,0,63,16,49,5,133,0,0,0,0,1.0
CUST0000971158,200804,2008-03-22,48,366.71,0,233,0,0,126,94,13,0,69,163,1,107,45,80,0,187,28,13,5,1,0.0
CUST0000971135,200805,2008-03-24,57,569.72,316,0,0,0,215,72,29,155,72,88,1,137,53,119,6,0,316,0,0,1,0.0
CUST0000970138,200805,2008-03-29,40,1151.83,518,0,0,0,482,34,2,419,32,67,0,66,24,420,8,162,356,0,0,0,0.0
CUST0000969621,200805,2008-03-29,74,840.23,0,401,0,0,183,195,23,0,102,299,0,155,33,194,19,401,0,0,0,0,0.0
CUST0000969460,200749,2008-01-29,60,810.93999999999994,0,519,0,0,414,80,25,346,76,96,1,101,33,374,10,11,508,0,0,1,3.0
CUST0000969302,200741,2007-12-06,15,811.58999999999992,0,328,0,0,328,0,0,260,0,68,0,259,0,69,0,328,0,0,0,0,3.0
CUST0000969237,200805,2008-03-25,60,1202.44,0,554,0,0,491,49,14,48,41,465,0,487,11,54,2,334,220,0,0,0,0.0
CUST0000969123,200805,2008-03-27,132,823.48,0,382,0,0,117,206,59,0,221,161,0,196,66,107,13,211,171,0,0,0,0.0
CUST0000969050,200805,2008-03-28,127,1024.57,0,473,0,0,261,185,27,30,234,200,9,142,154,151,17,385,65,0,23,9,0.0
CUST0000968749,200635,2006-10-25,21,418.19,0,231,0,0,198,28,5,171,13,47,0,65,2,160,4,1,230,0,0,0,1.0
CUST0000968322,200723,2007-08-02,15,333.08000000000004,169,0,0,0,154,15,0,79,9,81,0,47,60,62,0,169,0,0,0,0,1.0
CUST0000968222,200749,2008-01-29,94,421.93000000000006,0,242,0,0,33,139,70,33,159,45,5,96,81,54,6,155,85,0,2,5,1.0
CUST0000967987,200805,2008-03-29,184,804.47000000000014,0,452,0,0,29,272,151,0,326,126,0,262,42,130,18,22,430,0,0,0,0.0
CUST0000967657,200805,2008-03-28,73,1782.0599999999997,1210,0,0,0,1183,24,3,989,11,210,0,275,85,847,3,918,279,13,0,0,0.0
CUST0000967395,200652,2007-02-25,3,17.939999999999998,0,0,0,9,0,7,2,0,9,0,0,7,2,0,0,0,9,0,0,0,2.0
CUST0000967288,200804,2008-03-21,174,953.48000000000013,663,0,0,0,144,430,89,16,356,291,0,416,64,183,0,20,0,643,0,0,0.0
CUST0000967247,200745,2007-12-31,6,240.96999999999997,0,76,0,0,76,0,0,29,4,43,0,28,0,44,4,76,0,0,0,0,1.0
CUST0000967041,200805,2008-03-30,145,463.16,0,0,272,0,4,143,125,0,251,20,1,148,59,51,13,216,3,0,53,1,1.0
CUST0000966156,200805,2008-03-30,145,3498.650000000001,0,1350,0,0,1206,113,31,560,107,683,0,755,92,499,4,1306,5,34,5,0,0.0
CUST0000965879,200805,2008-03-28,24,117.28,0,164,0,0,104,55,5,17,27,119,1,123,16,24,0,164,0,0,0,1,0.0
CUST0000965784,200722,2007-07-25,5,259.24,88,0,0,0,88,0,0,61,0,27,0,13,0,75,0,88,0,0,0,0,3.0
CUST0000965765,200805,2008-03-27,100,1998.08,0,1357,0,0,1318,37,2,690,16,650,1,590,2,750,14,1299,58,0,0,1,0.0
CUST0000965597,200750,2008-02-07,41,816.21999999999991,0,0,420,0,394,7,19,0,26,394,0,367,11,42,0,101,15,0,304,0,0.0
CUST0000965441,200739,2007-11-24,2,73.07,0,0,36,0,36,0,0,26,0,10,0,0,10,26,0,0,36,0,0,0,1.0
CUST0000965378,200706,2007-04-02,22,327.69,0,214,0,0,195,19,0,55,0,159,0,94,22,98,0,0,214,0,0,0,2.0
CUST0000965308,200637,2006-11-09,2,21.28,14,0,0,0,9,5,0,0,5,9,0,5,9,0,0,9,0,5,0,0,1.0
CUST0000965181,200631,2006-09-25,2,81.9,0,39,0,0,39,0,0,39,0,0,0,39,0,0,0,39,0,0,0,0,1.0
CUST0000964472,200709,2007-04-23,1,10.67,0,0,0,9,9,0,0,0,0,9,0,0,0,9,0,9,0,0,0,0,1.0
CUST0000964342,200806,2008-03-31,220,1945.5,1392,0,0,0,856,449,87,392,241,758,1,494,103,756,38,1390,2,0,0,1,0.0
CUST0000964191,200613,2006-05-22,7,89.740000000000023,45,0,0,0,41,0,4,17,4,24,0,14,4,27,0,45,0,0,0,0,1.0
CUST0000964168,200649,2007-02-04,1,13.759999999999998,0,0,8,0,0,8,0,0,0,8,0,0,8,0,0,8,0,0,0,0,1.0
CUST0000964045,200805,2008-03-30,37,586.44,0,275,0,0,195,68,12,105,50,120,0,145,52,77,1,274,0,1,0,0,0.0
CUST0000963716,200804,2008-03-23,29,223.94,0,0,139,0,75,57,7,12,38,89,0,48,31,46,14,7,13,119,0,0,1.0
CUST0000963557,200805,2008-03-30,19,357.55000000000007,0,168,0,0,144,22,2,60,13,95,0,15,14,132,7,42,123,3,0,0,1.0
CUST0000963329,200805,2008-03-27,93,861.66000000000008,688,0,0,0,479,205,4,54,36,598,0,234,108,344,2,0,0,1,687,0,0.0
CUST0000962337,200804,2008-03-19,71,1151.53,0,559,0,0,452,96,11,159,54,346,0,150,61,328,20,559,0,0,0,0,0.0
CUST0000962125,200751,2008-02-11,16,36.6,28,0,0,0,5,8,15,0,22,5,1,11,5,7,4,2,23,0,3,1,3.0
CUST0000962041,200805,2008-03-25,120,2035.5700000000002,0,1203,0,0,1141,37,25,214,64,924,1,741,44,414,3,1202,0,1,0,1,0.0
CUST0000961436,200803,2008-03-16,55,1225.3700000000001,0,576,0,0,506,62,8,402,51,123,0,314,16,238,8,189,387,0,0,0,0.0
CUST0000960491,200741,2007-12-05,2,33.09,0,23,0,0,23,0,0,0,0,23,0,23,0,0,0,0,0,0,23,0,2.0
CUST0000960424,200803,2008-03-12,185,960.2700000000001,0,0,650,0,71,477,102,0,336,314,0,435,13,157,45,333,16,301,0,0,0.0
CUST0000960281,200805,2008-03-27,140,687.84000000000015,0,490,0,0,264,106,120,245,208,37,0,113,145,230,2,438,1,51,0,0,0.0
CUST0000960214,200802,2008-03-04,8,153.44,0,89,0,0,78,7,4,78,11,0,0,45,2,40,2,88,1,0,0,0,2.0
CUST0000959875,200806,2008-03-31,90,1165.59,0,759,0,0,558,194,7,130,56,573,0,404,22,333,0,112,170,477,0,0,0.0
CUST0000959598,200707,2007-04-09,20,142.07999999999998,0,0,88,0,34,47,7,16,26,46,0,36,16,36,0,24,48,0,16,0,1.0
CUST0000959483,200607,2006-04-14,1,1.02,0,0,0,2,0,0,2,0,2,0,0,0,0,2,0,0,2,0,0,0,1.0
