CUST_CODE,TOTAL_QUANTITY,TOTAL_SPEND,TOTAL_COME,STORE_FORMAT
CUST0000007988,73,74.79,37,SS
CUST0000007988,266,190.01999999999995,91,XLS
CUST0000007988,2,1.9100000000000001,1,MS
CUST0000008112,3,2.76,1,XLS
CUST0000008206,29,33.52,4,MS
CUST0000008235,240,189.25,4,LS
CUST0000008483,3,6.52,2,MS
CUST0000008483,30,42.980000000000004,8,SS
CUST0000008483,5,1.47,2,LS
CUST0000008640,67,55.489999999999995,8,LS
CUST0000008716,21,30.67,3,LS
CUST0000008879,142,139.53000000000003,51,MS
CUST0000008879,11,7.82,2,LS
CUST0000008879,5,2.46,1,XLS
CUST0000008910,1096,1289.3400000000001,121,LS
CUST0000009422,887,899.65000000000055,139,LS
CUST0000009537,704,795.05999999999949,152,MS
CUST0000009537,2,1.03,1,XLS
CUST0000009537,5,4.63,3,SS
CUST0000009537,921,973.21999999999923,160,LS
CUST0000009737,3036,3862.5799999999881,448,LS
CUST0000009737,113,128.08999999999997,17,MS
CUST0000009875,7,9.8600000000000012,1,MS
CUST0000010288,67,91.63,6,MS
CUST0000010288,828,946.42,55,LS
CUST0000010509,259,331.45000000000005,35,LS
CUST0000010532,15,31.489999999999995,6,XLS
CUST0000010532,49,64.41,9,MS
CUST0000010532,39,47.94,10,LS
CUST0000010712,352,371.73999999999995,28,LS
CUST0000010805,319,349.03000000000031,62,LS
CUST0000010921,1923,2319.1399999999981,193,LS
CUST0000010921,32,37.87,2,SS
CUST0000010921,84,109.02999999999999,7,MS
CUST0000010950,603,956.62999999999965,88,LS
CUST0000011068,7,4.16,3,SS
CUST0000011068,37,30.67,3,XLS
CUST0000011068,1140,1113.2100000000009,162,LS
CUST0000011068,38,39.6,9,MS
CUST0000011182,28,47.269999999999996,11,MS
CUST0000011232,57,84.08,11,SS
CUST0000011232,4,15.3,2,XLS
CUST0000011546,390,684.45,15,SS
CUST0000011546,67,102.19,2,LS
CUST0000011647,639,1566.53,73,MS
CUST0000011873,3,4.79,3,LS
CUST0000011873,947,1190.4299999999989,137,MS
CUST0000012241,8,11.62,5,MS
CUST0000012241,130,143.57000000000002,37,LS
CUST0000012357,8,10.14,2,SS
CUST0000012357,680,1258.5300000000002,58,LS
CUST0000012357,53,168.09,7,MS
CUST0000012470,61,69.190000000000012,6,MS
CUST0000012470,11,14.98,2,LS
CUST0000012535,491,420.7700000000001,10,LS
CUST0000013075,4,4.41,3,SS
CUST0000013075,1926,2446.2999999999965,85,MS
CUST0000013075,123,212.07000000000005,10,LS
CUST0000013461,140,133.04999999999998,9,LS
CUST0000013461,14,7.26,6,XLS
CUST0000013530,29,30.400000000000002,5,MS
CUST0000013530,1,0.45,1,XLS
CUST0000013530,6,4.76,1,SS
CUST0000013675,9,6.67,1,MS
CUST0000013725,244,360.32,15,LS
CUST0000014241,79,94.29000000000002,6,LS
CUST0000014549,7,5.8500000000000005,2,MS
CUST0000014549,3,2.3600000000000003,1,SS
CUST0000014549,2058,2902.7100000000078,418,LS
CUST0000014840,37,37.36,6,MS
CUST0000014840,1281,1558.0499999999993,183,LS
CUST0000014855,16,30.850000000000005,1,LS
CUST0000014942,1098,1510.6800000000012,96,LS
CUST0000014944,14,14.52,7,LS
CUST0000015147,1,0.07,1,SS
CUST0000015843,23,35.75,5,MS
CUST0000015843,120,186.30999999999997,21,LS
CUST0000015843,30,54.699999999999989,7,XLS
CUST0000015949,1051,1179.6900000000026,160,LS
CUST0000015976,58,91.639999999999986,5,LS
CUST0000015976,16,19.0,1,XLS
CUST0000016087,4288,6748.779999999997,141,LS
CUST0000016087,3,4.74,1,MS
CUST0000016305,6,5.3100000000000005,3,SS
CUST0000016305,504,667.7000000000005,73,LS
CUST0000016305,4,4.93,3,MS
CUST0000016376,11,23.53,1,SS
CUST0000016376,2961,5046.79999999999,187,LS
CUST0000016975,1,1.23,1,MS
CUST0000016975,2,1.19,1,SS
CUST0000016975,1392,1645.5500000000011,245,LS
CUST0000017060,16,20.15,1,SS
CUST0000017060,18,16.39,2,LS
CUST0000017071,15,3.7399999999999993,3,LS
CUST0000017220,34,30.279999999999994,2,SS
CUST0000017220,30,29.989999999999995,3,MS
CUST0000017220,102,149.48999999999998,4,LS
CUST0000017545,2016,2409.7199999999993,65,LS
CUST0000017681,17,21.08,2,LS
CUST0000017968,10,14.7,2,MS
CUST0000017968,4,0.64,1,XLS
CUST0000017968,40,86.15,6,LS
CUST0000018190,40,56.07,12,MS
CUST0000018190,374,481.07000000000005,60,LS
CUST0000018390,723,880.73999999999967,54,MS
CUST0000018482,2,1.65,1,LS
CUST0000018545,1,9.71,1,XLS
CUST0000018545,27,46.2,7,MS
CUST0000018583,110,359.54,16,SS
CUST0000018583,5,13.71,2,LS
CUST0000018830,2,2.7399999999999998,1,MS
CUST0000018830,35,48.769999999999996,5,LS
CUST0000018911,1379,1545.5000000000005,87,MS
CUST0000018911,9,10.1,2,LS
CUST0000018943,23,22.53,1,SS
CUST0000018943,52,69.99,4,LS
CUST0000018943,4,3.8100000000000005,1,XLS
CUST0000018943,1362,1821.5399999999954,39,MS
CUST0000019017,22,22.93,1,LS
CUST0000019337,2,0.02,2,LS
CUST0000019499,17,35.620000000000005,1,XLS
CUST0000019629,3214,4140.630000000011,258,LS
CUST0000019629,252,510.76999999999987,102,MS
CUST0000019629,1,1.5,1,XLS
CUST0000019980,56,42.260000000000012,4,LS
CUST0000019980,9,7.2600000000000007,2,MS
CUST0000019986,23,25.320000000000004,5,MS
CUST0000019987,9,12.0,1,LS
CUST0000020029,407,735.89000000000033,60,LS
CUST0000020029,19,30.870000000000005,3,XLS
CUST0000020029,1,0.87,1,SS
CUST0000020571,11,24.56,3,MS
CUST0000020571,449,611.42000000000019,44,LS
CUST0000020908,6,11.19,1,SS
CUST0000020908,48,51.36,8,MS
CUST0000020908,192,184.78000000000006,40,LS
CUST0000021007,2,12.479999999999999,2,MS
CUST0000021007,496,716.8,87,LS
CUST0000021287,16,13.36,4,MS
CUST0000021287,5,5.82,3,LS
CUST0000021287,20,13.239999999999998,8,SS
CUST0000021723,181,150.49000000000004,32,SS
CUST0000022234,21,25.57,11,MS
CUST0000022234,8,10.66,1,SS
CUST0000022234,12,16.47,3,LS
CUST0000022316,2,3.5300000000000002,1,SS
CUST0000022316,1067,1118.2799999999993,90,MS
CUST0000022316,7,4.25,3,LS
CUST0000022316,1,5.49,1,XLS
CUST0000022415,227,300.54999999999995,8,LS
CUST0000022814,16,14.39,11,MS
CUST0000022814,1,1.17,1,XLS
CUST0000022814,546,738.32000000000016,81,LS
CUST0000023291,22,24.449999999999996,3,MS
CUST0000023291,1,1.52,1,XLS
CUST0000023291,37,88.679999999999993,5,LS
CUST0000023371,9,6.76,1,LS
CUST0000023406,9,6.32,4,SS
CUST0000023406,12,18.0,4,XLS
CUST0000023406,168,223.28000000000006,26,MS
CUST0000023406,207,259.77000000000004,49,LS
CUST0000023618,1767,2193.0399999999954,211,LS
CUST0000023729,1,1.36,1,LS
CUST0000023874,3,1.05,1,LS
CUST0000023985,22,23.839999999999996,6,MS
CUST0000024442,3,5.1999999999999993,1,LS
CUST0000024442,10,4.5500000000000007,1,MS
CUST0000024551,13,16.07,3,LS
CUST0000024653,69,72.699999999999989,21,LS
CUST0000024653,5,6.18,3,MS
CUST0000024790,3,3.05,1,LS
CUST0000024896,51,58.91,13,MS
CUST0000024896,31,29.38000000000001,4,LS
CUST0000025217,104,149.47,2,LS
CUST0000025221,272,394.39999999999992,5,LS
CUST0000025292,19,26.989999999999995,5,LS
CUST0000025448,2019,2416.1499999999951,68,LS
CUST0000025448,1,0.21,1,MS
CUST0000025657,12,5.33,3,LS
CUST0000025657,70,69.15,22,MS
CUST0000025672,5,10.8,2,LS
CUST0000025682,114,204.88,6,XLS
CUST0000025691,5,8.379999999999999,3,LS
CUST0000026426,12,17.41,1,LS
CUST0000026547,12,37.180000000000007,7,LS
CUST0000026547,511,1154.6999999999998,88,MS
CUST0000026732,333,439.72999999999968,28,LS
CUST0000026732,39,75.460000000000008,9,MS
CUST0000026732,1,1.04,1,SS
CUST0000026911,186,365.67999999999995,29,MS
CUST0000026911,2,2.96,1,LS
CUST0000027188,667,831.91999999999916,103,LS
CUST0000027188,246,307.42000000000007,37,MS
CUST0000027294,10,9.54,1,MS
CUST0000027371,9,37.14,6,SS
CUST0000027371,9,7.5200000000000005,2,LS
CUST0000027873,740,1173.5200000000002,44,LS
CUST0000027873,512,730.21000000000049,35,MS
CUST0000027873,1055,1319.6000000000031,245,SS
CUST0000028030,4,2.62,1,MS
CUST0000028077,80,71.749999999999972,8,LS
CUST0000028109,182,223.38000000000011,54,XLS
CUST0000028109,1588,2014.940000000001,74,LS
CUST0000028109,5,6.5200000000000005,2,MS
CUST0000028257,14,15.21,1,LS
CUST0000028257,17,15.19,2,XLS
CUST0000028627,205,240.10999999999987,11,LS
CUST0000029009,3,1.04,1,MS
CUST0000029009,841,1124.7699999999998,146,LS
CUST0000029233,4,1.88,1,MS
CUST0000029233,836,1055.1899999999998,57,LS
CUST0000029326,10,13.98,2,MS
CUST0000029326,2,0.44,1,SS
CUST0000029326,159,298.51,13,LS
CUST0000029392,1782,2684.4499999999994,81,LS
CUST0000029587,754,1193.0699999999979,121,SS
CUST0000029587,2,5.94,1,MS
CUST0000029587,1455,2514.51,219,LS
CUST0000029729,9,6.28,2,LS
CUST0000029729,1296,1160.0400000000006,136,MS
CUST0000029729,15,9.990000000000002,2,SS
CUST0000029952,79,106.21000000000001,9,LS
CUST0000029952,3,3.99,2,MS
CUST0000030086,30,28.29,3,LS
CUST0000030374,48,55.22,7,XLS
CUST0000030374,99,130.64000000000001,7,LS
CUST0000030374,19,44.400000000000006,2,MS
CUST0000030374,14,15.58,2,SS
CUST0000030521,1753,1697.3800000000015,400,LS
CUST0000030521,6,5.0,1,MS
CUST0000030585,2454,3038.3099999999977,100,LS
CUST0000031428,177,243.77,18,MS
CUST0000031428,1175,1848.6499999999992,171,LS
CUST0000031564,8,7.5400000000000009,2,LS
CUST0000031996,9,6.1499999999999995,1,LS
CUST0000032568,209,331.92,18,LS
CUST0000032697,69,87.090000000000018,30,LS
CUST0000032697,6,8.12,3,MS
CUST0000032813,1425,2332.9200000000005,257,MS
CUST0000032813,105,126.25000000000001,15,XLS
CUST0000032813,149,212.13,47,LS
CUST0000033304,2442,2727.0299999999997,105,LS
CUST0000033304,8,5.38,2,SS
CUST0000033395,34,32.400000000000006,4,LS
CUST0000033395,140,181.79000000000002,21,XLS
CUST0000033514,217,206.15000000000006,37,XLS
CUST0000034023,117,169.06,5,MS
CUST0000034023,1782,2341.7600000000029,135,LS
CUST0000034375,87,63.92,9,LS
CUST0000034375,8,7.95,2,MS
CUST0000034450,375,436.30999999999972,59,LS
CUST0000034450,1,0.7,1,SS
CUST0000035935,1233,2048.0700000000006,59,LS
CUST0000036781,28,39.37,2,LS
CUST0000036781,1,0.72,1,SS
CUST0000036792,960,1442.7900000000009,128,LS
CUST0000037150,50,131.64,8,SS
CUST0000037150,975,1272.4699999999993,90,LS
CUST0000037150,2,0.7,1,MS
CUST0000037401,9,6.36,3,LS
CUST0000037542,16,16.3,8,LS
CUST0000037542,4,6.32,1,SS
CUST0000037542,1133,1496.6299999999999,177,MS
CUST0000037746,77,70.64,21,MS
CUST0000037746,415,719.51000000000022,14,LS
CUST0000037746,167,202.42000000000002,23,SS
CUST0000037746,696,756.61999999999887,197,XLS
CUST0000037843,103,144.24,13,LS
CUST0000038037,39,44.85,8,LS
CUST0000038037,4,4.63,1,SS
CUST0000038061,7,2.75,4,MS
CUST0000038061,15,20.029999999999994,2,LS
CUST0000038162,700,962.09000000000026,169,MS
CUST0000038162,34,31.530000000000005,2,LS
CUST0000038166,47,175.74,3,LS
CUST0000038793,94,100.35000000000002,8,MS
CUST0000038793,198,288.31999999999994,38,LS
CUST0000039024,284,377.58999999999992,29,LS
CUST0000039024,13,13.73,2,SS
CUST0000039202,722,799.00999999999976,45,LS
CUST0000039202,6,7.1499999999999995,2,SS
CUST0000039202,1,1.54,1,XLS
CUST0000039473,3,2.74,3,MS
CUST0000039473,130,183.69,14,XLS
CUST0000039473,761,1051.5600000000018,184,LS
CUST0000039589,43,73.72,3,LS
CUST0000039589,1030,1702.199999999996,102,MS
CUST0000039817,10,6.09,1,LS
CUST0000039828,883,871.32999999999993,151,LS
CUST0000039828,2,3.73,1,MS
CUST0000039924,5,17.49,2,MS
CUST0000039924,11,18.38,1,LS
CUST0000039924,32,97.000000000000014,6,SS
CUST0000040270,300,355.84000000000003,32,LS
CUST0000040270,1,4.19,1,MS
CUST0000040366,577,521.97000000000025,125,LS
CUST0000040788,88,79.429999999999978,34,SS
CUST0000040788,468,503.85000000000014,27,LS
CUST0000040788,1,0.01,1,XLS
CUST0000040788,173,303.32,23,MS
CUST0000040819,38,76.169999999999987,16,LS
CUST0000040819,1835,2613.7799999999988,146,XLS
CUST0000040819,1,1.12,1,SS
CUST0000040819,252,320.23999999999995,27,MS
CUST0000041142,64,60.819999999999993,14,MS
CUST0000041142,783,1045.5300000000002,117,LS
CUST0000041292,17,18.42,3,LS
CUST0000041315,162,182.81,7,LS
CUST0000041315,527,579.98999999999978,21,MS
CUST0000041397,350,289.7299999999999,35,MS
CUST0000041637,119,192.59999999999997,22,SS
CUST0000041637,14,16.400000000000002,3,MS
CUST0000041637,348,531.72,39,LS
CUST0000041705,52,73.61999999999999,3,LS
CUST0000041792,4595,3997.2899999999945,229,LS
CUST0000041792,1,0.36,1,XLS
CUST0000041920,249,481.28999999999996,22,LS
CUST0000041920,14,10.3,2,MS
CUST0000042133,1,0.75,1,LS
CUST0000042133,397,412.39000000000021,27,MS
CUST0000042310,194,236.81999999999996,46,MS
CUST0000042310,557,682.56000000000006,97,LS
CUST0000042310,96,122.49000000000001,15,SS
CUST0000042324,738,1043.0900000000004,57,LS
CUST0000042324,17,42.06,6,MS
CUST0000042355,124,133.18,2,XLS
CUST0000042419,15,16.51,1,SS
CUST0000042419,23,25.21,5,LS
CUST0000042419,182,215.49,41,MS
CUST0000042509,1,0.8,1,LS
CUST0000042921,2373,2865.7300000000059,73,LS
CUST0000042928,86,121.20999999999998,13,MS
CUST0000042928,47,51.109999999999992,4,LS
CUST0000043076,1475,1649.0199999999998,144,MS
CUST0000043076,248,264.39000000000004,36,XLS
CUST0000043076,13,9.68,6,SS
CUST0000043090,13,17.33,6,MS
CUST0000043090,196,295.48,54,LS
CUST0000043417,28,44.0,4,MS
CUST0000043417,953,1271.7100000000003,68,LS
CUST0000044201,15,19.330000000000002,1,LS
CUST0000044470,29,35.3,1,MS
CUST0000044470,269,276.15000000000009,45,LS
CUST0000044673,11,10.239999999999998,6,LS
CUST0000044799,23,30.97,2,XLS
CUST0000044856,217,182.97999999999985,24,XLS
CUST0000044856,1279,1343.2400000000016,102,LS
CUST0000044868,8,13.049999999999999,1,LS
CUST0000045451,1171,1076.900000000001,50,LS
CUST0000045451,7,22.720000000000002,2,MS
CUST0000045451,24,22.200000000000003,2,SS
CUST0000045979,538,767.51000000000022,30,LS
CUST0000045979,501,501.39999999999986,21,MS
CUST0000045979,1,0.33,1,XLS
CUST0000046097,8,6.34,4,SS
CUST0000046097,3,6.7799999999999994,1,LS
CUST0000046097,405,536.6500000000002,119,MS
CUST0000046348,37,63.39,10,MS
CUST0000046348,492,853.70000000000016,55,XLS
CUST0000046348,16,24.580000000000005,8,SS
CUST0000046348,532,870.56000000000017,55,LS
CUST0000046556,53,97.570000000000022,15,LS
CUST0000046556,37,50.290000000000006,3,SS
CUST0000046594,2,2.2399999999999998,1,SS
CUST0000046594,22,20.259999999999998,10,LS
CUST0000046594,1214,1331.690000000001,250,MS
CUST0000046609,12,11.959999999999999,2,MS
CUST0000046755,11,30.11,8,MS
CUST0000046755,2207,2147.5799999999981,233,LS
CUST0000046755,27,23.509999999999998,4,SS
CUST0000046773,13,4.85,2,MS
CUST0000047009,18,13.58,1,LS
CUST0000047027,540,702.53999999999951,78,XLS
CUST0000047027,9,6.9400000000000013,2,MS
CUST0000047027,75,92.5,13,LS
CUST0000047261,72,104.31999999999998,8,LS
CUST0000047261,3,2.77,1,SS
CUST0000047548,7,12.58,3,MS
CUST0000047548,1169,1691.0399999999995,104,LS
CUST0000047889,107,141.24,29,LS
CUST0000047909,2,2.2199999999999998,1,XLS
CUST0000047909,161,179.19000000000003,45,LS
CUST0000048091,199,201.03999999999996,32,XLS
CUST0000048091,128,130.74999999999997,16,LS
CUST0000048128,16,37.1,2,MS
CUST0000048202,1165,1440.7699999999991,68,SS
CUST0000048202,33,31.12,8,MS
CUST0000048202,6,4.63,1,LS
CUST0000048286,661,600.57999999999981,40,LS
CUST0000048286,5,3.23,1,SS
CUST0000048286,24,26.93,4,MS
CUST0000048320,309,395.40999999999997,34,LS
CUST0000048320,68,71.75,35,MS
CUST0000048357,2646,3130.9600000000114,210,MS
CUST0000048950,26,32.629999999999995,1,LS
CUST0000049075,13,9.7099999999999991,1,LS
CUST0000049075,810,359.54,54,XLS
CUST0000049271,4,3.41,1,LS
CUST0000049424,238,471.3400000000002,43,LS
CUST0000049454,5,4.77,4,SS
CUST0000049454,50,71.71,6,LS
CUST0000049591,77,75.81,17,SS
CUST0000049591,11,2.24,3,MS
CUST0000049591,22,33.309999999999995,5,LS
CUST0000049612,282,447.74999999999989,88,LS
CUST0000049612,43,73.59,13,MS
CUST0000049621,58,94.67,6,XLS
CUST0000049621,5,9.19,1,MS
CUST0000049621,283,429.46999999999997,25,LS
CUST0000049880,2138,1790.8699999999976,120,LS
CUST0000049880,3,1.07,3,MS
CUST0000050133,21,20.770000000000003,2,LS
CUST0000050163,49,68.320000000000007,6,MS
CUST0000050331,4,3.5300000000000002,2,MS
CUST0000050331,4,14.79,2,XLS
CUST0000050331,424,569.86999999999978,56,LS
CUST0000050344,8,11.36,1,SS
CUST0000050344,9,5.2,4,MS
CUST0000050344,2466,3131.979999999995,94,XLS
CUST0000050344,32,63.19,1,LS
CUST0000050558,1,2.51,1,MS
CUST0000050558,21,17.7,3,SS
CUST0000051369,30,42.399999999999991,3,LS
CUST0000051369,109,120.5,28,MS
CUST0000051933,3,8.58,1,MS
CUST0000051933,275,367.28999999999991,31,LS
CUST0000051975,1624,2209.8699999999981,143,LS
CUST0000052443,547,441.73999999999944,198,MS
CUST0000052765,504,864.06000000000063,57,MS
CUST0000052765,19,28.270000000000003,9,SS
CUST0000052765,241,465.35000000000025,51,LS
CUST0000052887,42,57.260000000000005,2,LS
CUST0000053274,656,931.78000000000088,50,LS
CUST0000053339,1,0.34,1,SS
CUST0000053339,15,18.47,1,LS
CUST0000053580,22,25.99,8,LS
CUST0000053580,2,5.45,2,MS
CUST0000053659,892,1040.9100000000008,78,LS
CUST0000053659,118,133.14,42,MS
CUST0000053837,101,134.21,34,MS
CUST0000053837,606,929.89999999999986,36,LS
CUST0000053961,146,159.77000000000004,12,LS
CUST0000053961,359,562.81000000000006,15,MS
CUST0000053961,343,550.8499999999998,12,XLS
CUST0000054115,200,281.21000000000004,26,LS
CUST0000054115,4,5.1999999999999993,1,SS
CUST0000054115,133,119.48999999999998,20,XLS
CUST0000054115,8,15.440000000000001,2,MS
CUST0000054749,494,515.85,66,LS
CUST0000054749,53,67.93,19,SS
CUST0000054756,455,348.2399999999999,28,LS
CUST0000054756,250,262.58,36,MS
CUST0000054756,62,32.07,18,SS
CUST0000054756,38,44.849999999999994,12,XLS
CUST0000054771,2,1.84,1,LS
CUST0000054804,97,116.84999999999997,38,LS
CUST0000054804,16,14.370000000000001,11,MS
CUST0000054804,3,3.56,1,SS
CUST0000054846,1,0.4,1,SS
CUST0000055017,9,21.93,1,LS
CUST0000055064,48,57.269999999999996,14,SS
CUST0000055064,1611,1553.5399999999986,115,LS
CUST0000055165,12,16.02,5,LS
CUST0000055276,32,50.0,4,LS
CUST0000055381,25,51.03,2,MS
CUST0000055381,15,26.369999999999997,2,SS
CUST0000055381,1153,1709.9000000000008,75,LS
CUST0000055392,83,60.870000000000005,8,LS
CUST0000055396,13,16.98,1,MS
CUST0000055396,95,144.47000000000003,29,SS
CUST0000055631,18,50.040000000000006,15,MS
CUST0000055829,2,1.57,1,XLS
CUST0000055829,3652,4837.3099999999649,232,LS
CUST0000055931,60,83.36,2,LS
CUST0000055931,204,233.39999999999992,70,MS
CUST0000055988,7,11.040000000000001,1,SS
CUST0000056276,1751,2163.4600000000009,45,MS
CUST0000056276,144,216.08999999999997,5,LS
CUST0000056533,32,49.78,6,LS
CUST0000056664,11,10.139999999999999,6,LS
CUST0000056664,2,2.2399999999999998,1,MS
CUST0000056849,367,737.41999999999985,101,LS
CUST0000056849,109,209.49,8,XLS
CUST0000056849,1,5.77,1,MS
CUST0000057033,493,512.16999999999985,79,LS
CUST0000057033,277,194.33000000000004,85,MS
CUST0000057088,1333,2275.5500000000029,217,SS
CUST0000057088,242,434.81999999999994,22,XLS
CUST0000057088,68,116.06,8,LS
CUST0000057417,1624,2698.7500000000036,413,LS
CUST0000057790,1,1.01,1,MS
CUST0000058498,12,20.810000000000002,1,LS
CUST0000058615,23,0.23,1,LS
CUST0000058634,340,593.2,25,LS
CUST0000058875,714,1094.51,155,LS
CUST0000059001,1,0.53,1,SS
CUST0000059001,532,655.4799999999999,34,MS
CUST0000059001,12,25.870000000000005,4,XLS
CUST0000059001,157,172.18,29,LS
CUST0000059470,83,113.44999999999999,43,MS
CUST0000059541,7,5.04,4,MS
CUST0000059541,48,54.709999999999987,3,LS
CUST0000059541,14,12.370000000000001,8,SS
CUST0000060014,107,120.45,9,LS
CUST0000060094,4,5.91,1,XLS
CUST0000060094,91,99.71999999999997,18,LS
CUST0000060094,14,17.029999999999998,4,MS
CUST0000060098,12,21.6,1,XLS
CUST0000060281,21,27.72,2,MS
CUST0000060281,8,13.469999999999999,3,LS
CUST0000060410,22,20.73,3,XLS
CUST0000060410,1,0.32,1,LS
CUST0000060410,1660,2257.5099999999929,250,MS
CUST0000060707,9,11.549999999999999,2,MS
CUST0000060707,104,174.31999999999996,12,LS
CUST0000060800,2,1.86,1,MS
CUST0000060800,535,825.26,41,LS
CUST0000060847,19,23.720000000000006,6,XLS
CUST0000060847,62,76.41,15,MS
CUST0000060847,1143,1445.2300000000025,147,LS
CUST0000061162,11,16.090000000000003,2,LS
CUST0000061162,195,181.61,23,MS
CUST0000061214,2,2.96,1,LS
CUST0000061214,1383,1816.0900000000001,71,MS
CUST0000061214,3,2.94,1,XLS
CUST0000061224,353,822.09000000000015,1,LS
CUST0000061263,299,333.04999999999984,68,LS
CUST0000061472,3,11.13,1,SS
CUST0000061472,192,213.28999999999996,26,MS
CUST0000061472,406,422.94999999999965,33,LS
CUST0000061472,45,51.150000000000006,3,XLS
CUST0000061695,632,884.83,145,LS
CUST0000061695,9,15.34,3,MS
CUST0000062082,44,163.14999999999998,12,LS
CUST0000062102,3,2.1,1,MS
CUST0000062146,12,12.65,7,LS
CUST0000062236,349,544.70999999999992,87,LS
CUST0000062236,1,0.42,1,SS
CUST0000062236,12,50.389999999999993,6,MS
CUST0000062382,136,156.98000000000008,21,SS
CUST0000062780,419,340.5300000000002,50,MS
CUST0000062891,84,134.30999999999997,33,SS
CUST0000062946,136,141.39,25,MS
CUST0000062946,3222,3755.8399999999929,148,LS
CUST0000063103,569,865.4799999999999,26,LS
CUST0000063103,1,0.68,1,SS
CUST0000063144,2,2.1799999999999997,1,MS
CUST0000063172,18,16.89,9,MS
CUST0000063646,50,69.91,4,XLS
CUST0000063646,6,7.84,1,LS
CUST0000063646,22,27.15,2,MS
CUST0000063939,45,32.06,16,SS
CUST0000063939,984,1569.5200000000004,69,XLS
CUST0000063939,87,132.18000000000004,30,LS
CUST0000065468,178,151.7,16,LS
CUST0000065468,59,118.63,2,MS
CUST0000065671,468,633.74999999999977,107,SS
CUST0000065671,18,15.74,8,MS
CUST0000065671,65,188.8,11,LS
CUST0000066327,2,0.64,1,MS
CUST0000066423,4,1.74,1,MS
CUST0000066423,4,2.7100000000000004,1,SS
CUST0000066423,176,194.54999999999995,14,LS
CUST0000066462,4,3.1100000000000003,2,MS
CUST0000066462,306,816.37999999999988,52,LS
CUST0000066762,6,7.92,1,MS
CUST0000066762,852,1409.1499999999996,73,LS
CUST0000067158,1510,2011.869999999999,183,LS
CUST0000067605,11,15.24,3,LS
CUST0000067605,214,237.06000000000006,13,MS
CUST0000067841,850,1200.58,37,LS
CUST0000067841,28,35.4,1,MS
CUST0000067841,16,17.88,2,XLS
CUST0000067848,5,1.84,2,LS
CUST0000067889,7,8.25,1,LS
CUST0000068170,229,268.65,78,MS
